"Disease","Report Year","DHBName","Case Count","Case rate per 100,000"
"Trichinosis",2006,"Bay of Plenty",0,0
"Typhoid fever",2006,"Bay of Plenty",1,0.5
"Rheumatic fever",2006,"Bay of Plenty",3,1.6
"Hepatitis A",2006,"Bay of Plenty",3,1.6
"Arboviral diseases",2006,"Bay of Plenty",2,1
"Q fever",2006,"Bay of Plenty",0,0
"Listeriosis",2006,"Bay of Plenty",1,0.5
"Meningoencephalitis - primary amoebic",2006,"Bay of Plenty",0,0
"Tetanus",2006,"Bay of Plenty",0,0
"Measles",2006,"Bay of Plenty",1,0.5
"Leprosy",2006,"Bay of Plenty",0,0
"Toxic shellfish poisoning",2006,"Bay of Plenty",0,0
"Hepatitis C",2006,"Bay of Plenty",1,0.5
"Diphtheria",2006,"Bay of Plenty",0,0
"Taeniasis",2006,"Bay of Plenty",0,0
"Meningococcal disease",2006,"Bay of Plenty",3,1.6
"Tuberculosis disease",2006,"Bay of Plenty",7,3.6
"Acute gastroenteritis",2006,"Bay of Plenty",17,8.8
"Cysticercosis",2006,"Bay of Plenty",0,0
"Cryptosporidiosis",2006,"Bay of Plenty",25,13
"Mpox",2006,"Bay of Plenty",0,0
"Yersiniosis",2006,"Bay of Plenty",30,15.6
"Paratyphoid fever",2006,"Bay of Plenty",1,0.5
"Campylobacteriosis",2006,"Bay of Plenty",650,337.2
"Invasive pneumococcal disease",2006,"Bay of Plenty",0,0
"Leptospirosis",2006,"Bay of Plenty",8,4.2
"Pertussis",2006,"Bay of Plenty",80,41.5
"Hepatitis B",2006,"Bay of Plenty",0,0
"Legionellosis",2006,"Bay of Plenty",4,2.1
"Brucellosis",2006,"Bay of Plenty",0,0
"Shigellosis",2006,"Bay of Plenty",2,1
"Haemophilus influenzae type b",2006,"Bay of Plenty",2,1
"Rubella",2006,"Bay of Plenty",0,0
"Malaria",2006,"Bay of Plenty",0,0
"Mumps",2006,"Bay of Plenty",3,1.6
"Poliomyelitis",2006,"Bay of Plenty",0,0
"VTEC/STEC infection",2006,"Bay of Plenty",2,1
"Cholera",2006,"Bay of Plenty",0,0
"Hepatitis NOS",2006,"Bay of Plenty",0,0
"Giardiasis",2006,"Bay of Plenty",66,34.2
"Rabies and other lyssaviruses",2006,"Bay of Plenty",0,0
"Rickettsial disease",2006,"Bay of Plenty",0,0
"Hydatid disease",2006,"Bay of Plenty",0,0
"Q fever",2006,"Capital, Coast and Hutt Valley",0,0
"Typhoid fever",2006,"Capital, Coast and Hutt Valley",2,0.7
"Tetanus",2006,"Capital, Coast and Hutt Valley",0,0
"Hepatitis B",2006,"Capital, Coast and Hutt Valley",3,1.1
"Brucellosis",2006,"Capital, Coast and Hutt Valley",0,0
"Measles",2006,"Capital, Coast and Hutt Valley",2,0.7
"Meningococcal disease",2006,"Capital, Coast and Hutt Valley",13,4.8
"Yersiniosis",2006,"Capital, Coast and Hutt Valley",77,28.7
"Listeriosis",2006,"Capital, Coast and Hutt Valley",2,0.7
"Mumps",2006,"Capital, Coast and Hutt Valley",3,1.1
"Trichinosis",2006,"Capital, Coast and Hutt Valley",0,0
"Hepatitis C",2006,"Capital, Coast and Hutt Valley",5,1.9
"Toxic shellfish poisoning",2006,"Capital, Coast and Hutt Valley",0,0
"Hepatitis A",2006,"Capital, Coast and Hutt Valley",6,2.2
"Hepatitis NOS",2006,"Capital, Coast and Hutt Valley",0,0
"Rubella",2006,"Capital, Coast and Hutt Valley",0,0
"Meningoencephalitis - primary amoebic",2006,"Capital, Coast and Hutt Valley",0,0
"Rabies and other lyssaviruses",2006,"Capital, Coast and Hutt Valley",0,0
"Rickettsial disease",2006,"Capital, Coast and Hutt Valley",0,0
"Salmonellosis",2006,"Capital, Coast and Hutt Valley",156,58.2
"Haemophilus influenzae type b",2006,"Capital, Coast and Hutt Valley",1,0.4
"Campylobacteriosis",2006,"Capital, Coast and Hutt Valley",2026,755.8
"Cysticercosis",2006,"Capital, Coast and Hutt Valley",0,0
"Leptospirosis",2006,"Capital, Coast and Hutt Valley",3,1.1
"Hydatid disease",2006,"Capital, Coast and Hutt Valley",0,0
"Arboviral diseases",2006,"Capital, Coast and Hutt Valley",9,3.4
"Diphtheria",2006,"Capital, Coast and Hutt Valley",0,0
"Taeniasis",2006,"Capital, Coast and Hutt Valley",0,0
"Malaria",2006,"Capital, Coast and Hutt Valley",3,1.1
"Invasive pneumococcal disease",2006,"Capital, Coast and Hutt Valley",0,0
"Acute gastroenteritis",2006,"Capital, Coast and Hutt Valley",107,39.9
"Mpox",2006,"Capital, Coast and Hutt Valley",0,0
"Cryptosporidiosis",2006,"Capital, Coast and Hutt Valley",80,29.8
"Tuberculosis disease",2006,"Capital, Coast and Hutt Valley",40,14.9
"Pertussis",2006,"Capital, Coast and Hutt Valley",137,51.1
"Paratyphoid fever",2006,"Capital, Coast and Hutt Valley",2,0.7
"Leprosy",2006,"Capital, Coast and Hutt Valley",0,0
"Cholera",2006,"Capital, Coast and Hutt Valley",0,0
"Giardiasis",2006,"Capital, Coast and Hutt Valley",131,48.9
"Legionellosis",2006,"Capital, Coast and Hutt Valley",7,2.6
"VTEC/STEC infection",2006,"Capital, Coast and Hutt Valley",0,0
"Rheumatic fever",2006,"Capital, Coast and Hutt Valley",15,5.6
"Shigellosis",2006,"Capital, Coast and Hutt Valley",10,3.7
"Poliomyelitis",2006,"Capital, Coast and Hutt Valley",0,0
"Measles",2006,"Nelson Marlborough",2,1.5
"Tuberculosis disease",2006,"Nelson Marlborough",4,3.1
"Cysticercosis",2006,"Nelson Marlborough",0,0
"Yersiniosis",2006,"Nelson Marlborough",17,13.2
"Trichinosis",2006,"Nelson Marlborough",0,0
"Hepatitis B",2006,"Nelson Marlborough",0,0
"Listeriosis",2006,"Nelson Marlborough",1,0.8
"Leprosy",2006,"Nelson Marlborough",0,0
"Mumps",2006,"Nelson Marlborough",0,0
"Tetanus",2006,"Nelson Marlborough",0,0
"Hepatitis A",2006,"Nelson Marlborough",1,0.8
"Taeniasis",2006,"Nelson Marlborough",0,0
"Arboviral diseases",2006,"Nelson Marlborough",2,1.5
"Hepatitis C",2006,"Nelson Marlborough",0,0
"Rabies and other lyssaviruses",2006,"Nelson Marlborough",0,0
"Rubella",2006,"Nelson Marlborough",0,0
"Mpox",2006,"Nelson Marlborough",0,0
"Shigellosis",2006,"Nelson Marlborough",7,5.4
"Haemophilus influenzae type b",2006,"Nelson Marlborough",0,0
"Typhoid fever",2006,"Nelson Marlborough",2,1.5
"Rickettsial disease",2006,"Nelson Marlborough",0,0
"Brucellosis",2006,"Nelson Marlborough",0,0
"Pertussis",2006,"Nelson Marlborough",62,48
"Campylobacteriosis",2006,"Nelson Marlborough",359,277.8
"Meningoencephalitis - primary amoebic",2006,"Nelson Marlborough",0,0
"Q fever",2006,"Nelson Marlborough",0,0
"Giardiasis",2006,"Nelson Marlborough",38,29.4
"Salmonellosis",2006,"Nelson Marlborough",48,37.1
"Toxic shellfish poisoning",2006,"Nelson Marlborough",0,0
"Diphtheria",2006,"Nelson Marlborough",0,0
"Hydatid disease",2006,"Nelson Marlborough",0,0
"Leptospirosis",2006,"Nelson Marlborough",3,2.3
"Poliomyelitis",2006,"Nelson Marlborough",0,0
"Malaria",2006,"Nelson Marlborough",1,0.8
"Meningococcal disease",2006,"Nelson Marlborough",5,3.9
"VTEC/STEC infection",2006,"Nelson Marlborough",6,4.6
"Rheumatic fever",2006,"Nelson Marlborough",0,0
"Cryptosporidiosis",2006,"Nelson Marlborough",24,18.6
"Acute gastroenteritis",2006,"Nelson Marlborough",23,17.8
"Legionellosis",2006,"Nelson Marlborough",2,1.5
"Cholera",2006,"Nelson Marlborough",0,0
"Invasive pneumococcal disease",2006,"Nelson Marlborough",0,0
"Paratyphoid fever",2006,"Nelson Marlborough",2,1.5
"Hepatitis NOS",2006,"Nelson Marlborough",0,0
"Rabies and other lyssaviruses",2006,"Canterbury",0,0
"Hepatitis A",2006,"Canterbury",29,6.2
"Typhoid fever",2006,"Canterbury",0,0
"Meningoencephalitis - primary amoebic",2006,"Canterbury",0,0
"Arboviral diseases",2006,"Canterbury",2,0.4
"Yersiniosis",2006,"Canterbury",67,14.2
"Mumps",2006,"Canterbury",6,1.3
"Tetanus",2006,"Canterbury",0,0
"Trichinosis",2006,"Canterbury",0,0
"Salmonellosis",2006,"Canterbury",153,32.5
"Mpox",2006,"Canterbury",0,0
"Cysticercosis",2006,"Canterbury",0,0
"Diphtheria",2006,"Canterbury",0,0
"Rickettsial disease",2006,"Canterbury",0,0
"Meningococcal disease",2006,"Canterbury",18,3.8
"Haemophilus influenzae type b",2006,"Canterbury",0,0
"Rubella",2006,"Canterbury",1,0.2
"Acute gastroenteritis",2006,"Canterbury",137,29.1
"Tuberculosis disease",2006,"Canterbury",21,4.5
"Hydatid disease",2006,"Canterbury",0,0
"Leprosy",2006,"Canterbury",0,0
"Hepatitis C",2006,"Canterbury",15,3.2
"Listeriosis",2006,"Canterbury",0,0
"Malaria",2006,"Canterbury",4,0.8
"Hepatitis B",2006,"Canterbury",17,3.6
"Toxic shellfish poisoning",2006,"Canterbury",0,0
"Giardiasis",2006,"Canterbury",111,23.6
"Q fever",2006,"Canterbury",0,0
"Poliomyelitis",2006,"Canterbury",0,0
"Pertussis",2006,"Canterbury",303,64.3
"Taeniasis",2006,"Canterbury",0,0
"Rheumatic fever",2006,"Canterbury",1,0.2
"Brucellosis",2006,"Canterbury",0,0
"Shigellosis",2006,"Canterbury",9,1.9
"Paratyphoid fever",2006,"Canterbury",0,0
"Campylobacteriosis",2006,"Canterbury",1904,404.2
"Leptospirosis",2006,"Canterbury",9,1.9
"Hepatitis NOS",2006,"Canterbury",0,0
"Invasive pneumococcal disease",2006,"Canterbury",0,0
"Measles",2006,"Canterbury",7,1.5
"Cryptosporidiosis",2006,"Canterbury",88,18.7
"VTEC/STEC infection",2006,"Canterbury",15,3.2
"Legionellosis",2006,"Canterbury",5,1.1
"Cholera",2006,"Canterbury",0,0
"Rabies and other lyssaviruses",2006,"Southern",0,0
"Mumps",2006,"Southern",2,0.7
"Cysticercosis",2006,"Southern",0,0
"Arboviral diseases",2006,"Southern",2,0.7
"Measles",2006,"Southern",1,0.4
"Rickettsial disease",2006,"Southern",0,0
"Yersiniosis",2006,"Southern",25,8.8
"Brucellosis",2006,"Southern",0,0
"Trichinosis",2006,"Southern",0,0
"Hepatitis B",2006,"Southern",0,0
"Hepatitis A",2006,"Southern",2,0.7
"Tuberculosis disease",2006,"Southern",9,3.2
"Diphtheria",2006,"Southern",0,0
"Tetanus",2006,"Southern",0,0
"Rubella",2006,"Southern",2,0.7
"Q fever",2006,"Southern",0,0
"Giardiasis",2006,"Southern",85,29.8
"Leptospirosis",2006,"Southern",3,1.1
"Pertussis",2006,"Southern",76,26.7
"Campylobacteriosis",2006,"Southern",1157,405.9
"Malaria",2006,"Southern",1,0.4
"Taeniasis",2006,"Southern",0,0
"Meningoencephalitis - primary amoebic",2006,"Southern",0,0
"Listeriosis",2006,"Southern",1,0.4
"Mpox",2006,"Southern",0,0
"Salmonellosis",2006,"Southern",159,55.8
"Cryptosporidiosis",2006,"Southern",75,26.3
"Haemophilus influenzae type b",2006,"Southern",1,0.4
"Typhoid fever",2006,"Southern",0,0
"Cholera",2006,"Southern",0,0
"Toxic shellfish poisoning",2006,"Southern",0,0
"Legionellosis",2006,"Southern",7,2.5
"VTEC/STEC infection",2006,"Southern",10,3.5
"Invasive pneumococcal disease",2006,"Southern",0,0
"Shigellosis",2006,"Southern",2,0.7
"Meningococcal disease",2006,"Southern",16,5.6
"Acute gastroenteritis",2006,"Southern",44,15.4
"Hydatid disease",2006,"Southern",0,0
"Rheumatic fever",2006,"Southern",1,0.4
"Leprosy",2006,"Southern",0,0
"Hepatitis C",2006,"Southern",2,0.7
"Poliomyelitis",2006,"Southern",0,0
"Paratyphoid fever",2006,"Southern",1,0.4
"Hepatitis NOS",2006,"Southern",0,0
"Arboviral diseases",2006,"South Canterbury",1,1.8
"Hepatitis B",2006,"South Canterbury",1,1.8
"Taeniasis",2006,"South Canterbury",0,0
"Trichinosis",2006,"South Canterbury",0,0
"Mumps",2006,"South Canterbury",1,1.8
"Cysticercosis",2006,"South Canterbury",0,0
"Rubella",2006,"South Canterbury",0,0
"Rabies and other lyssaviruses",2006,"South Canterbury",0,0
"Diphtheria",2006,"South Canterbury",0,0
"Shigellosis",2006,"South Canterbury",0,0
"Acute gastroenteritis",2006,"South Canterbury",4,7.4
"Yersiniosis",2006,"South Canterbury",10,18.5
"Meningoencephalitis - primary amoebic",2006,"South Canterbury",0,0
"Measles",2006,"South Canterbury",0,0
"Pertussis",2006,"South Canterbury",20,36.9
"Poliomyelitis",2006,"South Canterbury",0,0
"Tetanus",2006,"South Canterbury",0,0
"Hepatitis C",2006,"South Canterbury",0,0
"Rickettsial disease",2006,"South Canterbury",0,0
"VTEC/STEC infection",2006,"South Canterbury",4,7.4
"Meningococcal disease",2006,"South Canterbury",1,1.8
"Q fever",2006,"South Canterbury",0,0
"Tuberculosis disease",2006,"South Canterbury",1,1.8
"Rheumatic fever",2006,"South Canterbury",0,0
"Giardiasis",2006,"South Canterbury",16,29.5
"Typhoid fever",2006,"South Canterbury",0,0
"Leptospirosis",2006,"South Canterbury",3,5.5
"Brucellosis",2006,"South Canterbury",0,0
"Hydatid disease",2006,"South Canterbury",0,0
"Paratyphoid fever",2006,"South Canterbury",0,0
"Hepatitis A",2006,"South Canterbury",0,0
"Malaria",2006,"South Canterbury",1,1.8
"Salmonellosis",2006,"South Canterbury",37,68.3
"Hepatitis NOS",2006,"South Canterbury",0,0
"Leprosy",2006,"South Canterbury",0,0
"Cryptosporidiosis",2006,"South Canterbury",41,75.7
"Haemophilus influenzae type b",2006,"South Canterbury",1,1.8
"Toxic shellfish poisoning",2006,"South Canterbury",0,0
"Campylobacteriosis",2006,"South Canterbury",285,526
"Mpox",2006,"South Canterbury",0,0
"Listeriosis",2006,"South Canterbury",1,1.8
"Legionellosis",2006,"South Canterbury",0,0
"Invasive pneumococcal disease",2006,"South Canterbury",0,0
"Cholera",2006,"South Canterbury",0,0
"Hepatitis B",2006,"Northland",1,0.7
"Acute gastroenteritis",2006,"Northland",3,2.1
"Arboviral diseases",2006,"Northland",0,0
"Trichinosis",2006,"Northland",0,0
"Pertussis",2006,"Northland",6,4.2
"Taeniasis",2006,"Northland",0,0
"Rubella",2006,"Northland",0,0
"Meningococcal disease",2006,"Northland",9,6.3
"Cysticercosis",2006,"Northland",0,0
"Listeriosis",2006,"Northland",1,0.7
"Shigellosis",2006,"Northland",3,2.1
"Malaria",2006,"Northland",0,0
"Hepatitis C",2006,"Northland",0,0
"Typhoid fever",2006,"Northland",1,0.7
"Diphtheria",2006,"Northland",0,0
"Rickettsial disease",2006,"Northland",0,0
"Mumps",2006,"Northland",1,0.7
"Hepatitis A",2006,"Northland",4,2.8
"Rabies and other lyssaviruses",2006,"Northland",0,0
"Tuberculosis disease",2006,"Northland",30,21.1
"Rheumatic fever",2006,"Northland",14,9.9
"Measles",2006,"Northland",0,0
"Tetanus",2006,"Northland",0,0
"Salmonellosis",2006,"Northland",45,31.7
"Giardiasis",2006,"Northland",69,48.6
"Poliomyelitis",2006,"Northland",0,0
"Invasive pneumococcal disease",2006,"Northland",0,0
"Legionellosis",2006,"Northland",2,1.4
"Cholera",2006,"Northland",0,0
"VTEC/STEC infection",2006,"Northland",5,3.5
"Q fever",2006,"Northland",0,0
"Meningoencephalitis - primary amoebic",2006,"Northland",0,0
"Toxic shellfish poisoning",2006,"Northland",0,0
"Campylobacteriosis",2006,"Northland",374,263.3
"Hydatid disease",2006,"Northland",0,0
"Yersiniosis",2006,"Northland",9,6.3
"Brucellosis",2006,"Northland",0,0
"Haemophilus influenzae type b",2006,"Northland",0,0
"Cryptosporidiosis",2006,"Northland",24,16.9
"Leptospirosis",2006,"Northland",13,9.2
"Leprosy",2006,"Northland",0,0
"Paratyphoid fever",2006,"Northland",0,0
"Hepatitis NOS",2006,"Northland",0,0
"Mpox",2006,"Northland",0,0
"Arboviral diseases",2006,"Counties Manukau",0,0
"Poliomyelitis",2006,"Counties Manukau",0,0
"Hepatitis B",2006,"Counties Manukau",12,2.8
"Rickettsial disease",2006,"Counties Manukau",0,0
"Trichinosis",2006,"Counties Manukau",0,0
"Meningoencephalitis - primary amoebic",2006,"Counties Manukau",0,0
"Rabies and other lyssaviruses",2006,"Counties Manukau",0,0
"Listeriosis",2006,"Counties Manukau",3,0.7
"Brucellosis",2006,"Counties Manukau",0,0
"Diphtheria",2006,"Counties Manukau",0,0
"Taeniasis",2006,"Counties Manukau",0,0
"Rubella",2006,"Counties Manukau",0,0
"Hydatid disease",2006,"Counties Manukau",0,0
"Mumps",2006,"Counties Manukau",8,1.9
"Cysticercosis",2006,"Counties Manukau",0,0
"Yersiniosis",2006,"Counties Manukau",34,7.9
"Acute gastroenteritis",2006,"Counties Manukau",55,12.8
"Malaria",2006,"Counties Manukau",7,1.6
"Measles",2006,"Counties Manukau",0,0
"Hepatitis C",2006,"Counties Manukau",0,0
"Campylobacteriosis",2006,"Counties Manukau",1548,358.9
"Hepatitis NOS",2006,"Counties Manukau",0,0
"Typhoid fever",2006,"Counties Manukau",18,4.2
"Shigellosis",2006,"Counties Manukau",14,3.2
"Salmonellosis",2006,"Counties Manukau",96,22.3
"Tuberculosis disease",2006,"Counties Manukau",67,15.5
"Hepatitis A",2006,"Counties Manukau",38,8.8
"Leprosy",2006,"Counties Manukau",0,0
"Legionellosis",2006,"Counties Manukau",7,1.6
"Meningococcal disease",2006,"Counties Manukau",26,6
"Tetanus",2006,"Counties Manukau",0,0
"Paratyphoid fever",2006,"Counties Manukau",10,2.3
"Giardiasis",2006,"Counties Manukau",103,23.9
"Pertussis",2006,"Counties Manukau",11,2.6
"Leptospirosis",2006,"Counties Manukau",1,0.2
"VTEC/STEC infection",2006,"Counties Manukau",4,0.9
"Q fever",2006,"Counties Manukau",0,0
"Cryptosporidiosis",2006,"Counties Manukau",25,5.8
"Haemophilus influenzae type b",2006,"Counties Manukau",0,0
"Toxic shellfish poisoning",2006,"Counties Manukau",0,0
"Rheumatic fever",2006,"Counties Manukau",34,7.9
"Invasive pneumococcal disease",2006,"Counties Manukau",0,0
"Cholera",2006,"Counties Manukau",0,0
"Mpox",2006,"Counties Manukau",0,0
"Hydatid disease",2006,"Waikato",0,0
"Hepatitis C",2006,"Waikato",0,0
"Rabies and other lyssaviruses",2006,"Waikato",0,0
"Rubella",2006,"Waikato",0,0
"Cysticercosis",2006,"Waikato",0,0
"Haemophilus influenzae type b",2006,"Waikato",1,0.3
"Taeniasis",2006,"Waikato",0,0
"Rickettsial disease",2006,"Waikato",13,3.9
"Arboviral diseases",2006,"Waikato",0,0
"Brucellosis",2006,"Waikato",0,0
"Diphtheria",2006,"Waikato",0,0
"Hepatitis NOS",2006,"Waikato",0,0
"Measles",2006,"Waikato",0,0
"Mumps",2006,"Waikato",2,0.6
"Hepatitis A",2006,"Waikato",3,0.9
"Meningococcal disease",2006,"Waikato",27,8
"Legionellosis",2006,"Waikato",2,0.6
"Typhoid fever",2006,"Waikato",8,2.4
"Leptospirosis",2006,"Waikato",8,2.4
"Meningoencephalitis - primary amoebic",2006,"Waikato",0,0
"Invasive pneumococcal disease",2006,"Waikato",0,0
"Campylobacteriosis",2006,"Waikato",1222,364
"Hepatitis B",2006,"Waikato",2,0.6
"Poliomyelitis",2006,"Waikato",0,0
"Q fever",2006,"Waikato",0,0
"Trichinosis",2006,"Waikato",0,0
"Toxic shellfish poisoning",2006,"Waikato",1,0.3
"Yersiniosis",2006,"Waikato",33,9.8
"Listeriosis",2006,"Waikato",1,0.3
"Cholera",2006,"Waikato",0,0
"Tetanus",2006,"Waikato",1,0.3
"Acute gastroenteritis",2006,"Waikato",47,14
"Malaria",2006,"Waikato",5,1.5
"Paratyphoid fever",2006,"Waikato",1,0.3
"Giardiasis",2006,"Waikato",135,40.2
"Shigellosis",2006,"Waikato",4,1.2
"Tuberculosis disease",2006,"Waikato",33,9.8
"VTEC/STEC infection",2006,"Waikato",16,4.8
"Mpox",2006,"Waikato",0,0
"Pertussis",2006,"Waikato",277,82.5
"Salmonellosis",2006,"Waikato",133,39.6
"Cryptosporidiosis",2006,"Waikato",96,28.6
"Rheumatic fever",2006,"Waikato",10,3
"Leprosy",2006,"Waikato",1,0.3
"Diphtheria",2006,"Lakes",0,0
"Taeniasis",2006,"Lakes",0,0
"Hydatid disease",2006,"Lakes",0,0
"Hepatitis NOS",2006,"Lakes",0,0
"Hepatitis C",2006,"Lakes",1,1
"Hepatitis B",2006,"Lakes",1,1
"Legionellosis",2006,"Lakes",1,1
"Invasive pneumococcal disease",2006,"Lakes",0,0
"Trichinosis",2006,"Lakes",0,0
"Measles",2006,"Lakes",0,0
"Pertussis",2006,"Lakes",23,23.4
"Rubella",2006,"Lakes",0,0
"Tetanus",2006,"Lakes",0,0
"Arboviral diseases",2006,"Lakes",0,0
"Rabies and other lyssaviruses",2006,"Lakes",0,0
"Typhoid fever",2006,"Lakes",0,0
"Poliomyelitis",2006,"Lakes",0,0
"Q fever",2006,"Lakes",0,0
"Mumps",2006,"Lakes",2,2
"Meningococcal disease",2006,"Lakes",2,2
"Malaria",2006,"Lakes",1,1
"Leptospirosis",2006,"Lakes",1,1
"Brucellosis",2006,"Lakes",0,0
"Shigellosis",2006,"Lakes",2,2
"Yersiniosis",2006,"Lakes",20,20.4
"Cysticercosis",2006,"Lakes",0,0
"Paratyphoid fever",2006,"Lakes",1,1
"Campylobacteriosis",2006,"Lakes",410,417.9
"Rheumatic fever",2006,"Lakes",4,4.1
"VTEC/STEC infection",2006,"Lakes",3,3.1
"Meningoencephalitis - primary amoebic",2006,"Lakes",0,0
"Mpox",2006,"Lakes",0,0
"Rickettsial disease",2006,"Lakes",0,0
"Listeriosis",2006,"Lakes",0,0
"Leprosy",2006,"Lakes",0,0
"Acute gastroenteritis",2006,"Lakes",14,14.3
"Cholera",2006,"Lakes",0,0
"Hepatitis A",2006,"Lakes",3,3.1
"Salmonellosis",2006,"Lakes",17,17.3
"Tuberculosis disease",2006,"Lakes",3,3.1
"Giardiasis",2006,"Lakes",38,38.7
"Haemophilus influenzae type b",2006,"Lakes",1,1
"Toxic shellfish poisoning",2006,"Lakes",0,0
"Cryptosporidiosis",2006,"Lakes",16,16.3
"Hepatitis C",2006,"Tairawhiti",1,2.3
"Pertussis",2006,"Tairawhiti",33,75.9
"Trichinosis",2006,"Tairawhiti",0,0
"Rheumatic fever",2006,"Tairawhiti",3,6.9
"Brucellosis",2006,"Tairawhiti",0,0
"Arboviral diseases",2006,"Tairawhiti",0,0
"Meningococcal disease",2006,"Tairawhiti",3,6.9
"Hepatitis B",2006,"Tairawhiti",1,2.3
"Typhoid fever",2006,"Tairawhiti",0,0
"Hepatitis NOS",2006,"Tairawhiti",0,0
"Measles",2006,"Tairawhiti",0,0
"Q fever",2006,"Tairawhiti",0,0
"Rabies and other lyssaviruses",2006,"Tairawhiti",0,0
"Rubella",2006,"Tairawhiti",0,0
"Taeniasis",2006,"Tairawhiti",0,0
"Leptospirosis",2006,"Tairawhiti",2,4.6
"Campylobacteriosis",2006,"Tairawhiti",58,133.4
"Legionellosis",2006,"Tairawhiti",1,2.3
"Cysticercosis",2006,"Tairawhiti",0,0
"Paratyphoid fever",2006,"Tairawhiti",0,0
"Malaria",2006,"Tairawhiti",0,0
