"Disease","Report Year","Ethnic Group","Case Count","Case rate per 100,000"
"Paratyphoid fever",2006,"Pacific",0,0
"Typhoid fever",2006,"Pacific",18,7.2
"Yersiniosis",2006,"Pacific",9,3.6
"Hydatid disease",2006,"Pacific",0,0
"Tuberculosis disease",2006,"Asian",149,44
"VTEC/STEC infection",2006,"Asian",2,0.6
"Trichinosis",2006,"Asian",0,0
"Arboviral diseases",2006,"Asian",1,0.3
"Q fever",2006,"Asian",0,0
"Rheumatic fever",2006,"Asian",1,0.3
"Rickettsial disease",2006,"Asian",0,0
"Tetanus",2006,"Asian",0,0
"Toxic shellfish poisoning",2006,"Asian",0,0
"Rabies and other lyssaviruses",2006,"Asian",0,0
"Haemophilus influenzae type b",2006,"Asian",0,0
"Cryptosporidiosis",2006,"Asian",20,5.9
"Invasive pneumococcal disease",2006,"Asian",0,0
"Legionellosis",2006,"Asian",2,0.6
"Malaria",2006,"Asian",5,1.5
"Rubella",2006,"Asian",0,0
"Meningococcal disease",2006,"Asian",5,1.5
"Diphtheria",2006,"Asian",0,0
"Meningoencephalitis - primary amoebic",2006,"Asian",0,0
"Leprosy",2006,"Asian",2,0.6
"Taeniasis",2006,"Asian",0,0
"Mpox",2006,"Asian",0,0
"Hepatitis A",2006,"Asian",12,3.5
"Hepatitis B",2006,"Asian",12,3.5
"Hepatitis C",2006,"Asian",0,0
"Cholera",2006,"Asian",0,0
"Campylobacteriosis",2006,"Asian",488,144
"Listeriosis",2006,"Asian",0,0
"Mumps",2006,"Asian",4,1.2
"Cysticercosis",2006,"Asian",0,0
"Leptospirosis",2006,"Asian",0,0
"Pertussis",2006,"Asian",36,10.6
"Measles",2006,"Asian",0,0
"Poliomyelitis",2006,"Asian",0,0
"Hydatid disease",2006,"Asian",0,0
"Hepatitis NOS",2006,"Asian",0,0
"Giardiasis",2006,"Asian",41,12.1
"Brucellosis",2006,"Asian",0,0
"Paratyphoid fever",2006,"Asian",9,2.7
"Salmonellosis",2006,"Asian",41,12.1
"Yersiniosis",2006,"Asian",35,10.3
"Shigellosis",2006,"Asian",12,3.5
"Acute gastroenteritis",2006,"Asian",24,7.1
"Typhoid fever",2006,"Asian",8,2.4
"Trichinosis",2006,"MELAA",0,0
"Tetanus",2006,"MELAA",0,0
"Arboviral diseases",2006,"MELAA",0,0
"Rubella",2006,"MELAA",0,0
"Malaria",2006,"MELAA",3,9.1
"Mpox",2006,"MELAA",0,0
"Taeniasis",2006,"MELAA",0,0
"Poliomyelitis",2006,"MELAA",0,0
"Cryptosporidiosis",2006,"MELAA",0,0
"Tuberculosis disease",2006,"MELAA",27,82
"Invasive pneumococcal disease",2006,"MELAA",0,0
"Hepatitis C",2006,"MELAA",0,0
"Listeriosis",2006,"MELAA",0,0
"Q fever",2006,"MELAA",0,0
"Toxic shellfish poisoning",2006,"MELAA",0,0
"Mumps",2006,"MELAA",0,0
"Leprosy",2006,"MELAA",0,0
"VTEC/STEC infection",2006,"MELAA",0,0
"Rabies and other lyssaviruses",2006,"MELAA",0,0
"Rickettsial disease",2006,"MELAA",0,0
"Hepatitis B",2006,"MELAA",0,0
"Campylobacteriosis",2006,"MELAA",34,103.2
"Haemophilus influenzae type b",2006,"MELAA",0,0
"Meningococcal disease",2006,"MELAA",0,0
"Salmonellosis",2006,"MELAA",6,18.2
"Shigellosis",2006,"MELAA",1,3
"Diphtheria",2006,"MELAA",0,0
"Yersiniosis",2006,"MELAA",3,9.1
"Meningoencephalitis - primary amoebic",2006,"MELAA",0,0
"Measles",2006,"MELAA",1,3
"Rheumatic fever",2006,"MELAA",0,0
"Cysticercosis",2006,"MELAA",0,0
"Hepatitis NOS",2006,"MELAA",0,0
"Giardiasis",2006,"MELAA",5,15.2
"Brucellosis",2006,"MELAA",0,0
"Hydatid disease",2006,"MELAA",0,0
"Typhoid fever",2006,"MELAA",8,24.3
"Pertussis",2006,"MELAA",2,6.1
"Hepatitis A",2006,"MELAA",1,3
"Cholera",2006,"MELAA",0,0
"Legionellosis",2006,"MELAA",0,0
"Leptospirosis",2006,"MELAA",0,0
"Acute gastroenteritis",2006,"MELAA",2,6.1
"Paratyphoid fever",2006,"MELAA",0,0
"Arboviral diseases",2006,"European or Others",14,0.5
"Rabies and other lyssaviruses",2006,"European or Others",0,0
"Mpox",2006,"European or Others",0,0
"Brucellosis",2006,"European or Others",0,0
"VTEC/STEC infection",2006,"European or Others",75,2.6
"Poliomyelitis",2006,"European or Others",0,0
"Meningoencephalitis - primary amoebic",2006,"European or Others",0,0
"Trichinosis",2006,"European or Others",0,0
"Invasive pneumococcal disease",2006,"European or Others",0,0
"Hepatitis B",2006,"European or Others",21,0.7
"Tuberculosis disease",2006,"European or Others",50,1.7
"Mumps",2006,"European or Others",26,0.9
"Taeniasis",2006,"European or Others",0,0
"Rheumatic fever",2006,"European or Others",3,0.1
"Campylobacteriosis",2006,"European or Others",10856,377.2
"Pertussis",2006,"European or Others",883,30.7
"Tetanus",2006,"European or Others",1,0
"Malaria",2006,"European or Others",7,0.2
"Cysticercosis",2006,"European or Others",0,0
"Rubella",2006,"European or Others",6,0.2
"Hepatitis NOS",2006,"European or Others",0,0
"Measles",2006,"European or Others",13,0.5
"Toxic shellfish poisoning",2006,"European or Others",0,0
"Leprosy",2006,"European or Others",0,0
"Meningococcal disease",2006,"European or Others",86,3
"Cryptosporidiosis",2006,"European or Others",604,21
"Hepatitis A",2006,"European or Others",54,1.9
"Q fever",2006,"European or Others",0,0
"Haemophilus influenzae type b",2006,"European or Others",6,0.2
"Diphtheria",2006,"European or Others",0,0
"Typhoid fever",2006,"European or Others",3,0.1
"Listeriosis",2006,"European or Others",13,0.5
"Shigellosis",2006,"European or Others",47,1.6
"Leptospirosis",2006,"European or Others",58,2
"Hepatitis C",2006,"European or Others",25,0.9
"Rickettsial disease",2006,"European or Others",13,0.5
"Yersiniosis",2006,"European or Others",290,10.1
"Acute gastroenteritis",2006,"European or Others",739,25.7
"Paratyphoid fever",2006,"European or Others",13,0.5
"Cholera",2006,"European or Others",0,0
"Legionellosis",2006,"European or Others",42,1.5
"Salmonellosis",2006,"European or Others",965,33.5
"Giardiasis",2006,"European or Others",871,30.3
"Hydatid disease",2006,"European or Others",0,0
"Trichinosis",2007,"Māori",0,0
"Poliomyelitis",2007,"Māori",0,0
"VTEC/STEC infection",2007,"Māori",7,1.3
"Tuberculosis disease",2007,"Māori",49,9.3
"Rheumatic fever",2007,"Māori",67,12.8
"Meningoencephalitis - primary amoebic",2007,"Māori",0,0
"Tetanus",2007,"Māori",0,0
"Mpox",2007,"Māori",0,0
"Arboviral diseases",2007,"Māori",12,2.3
"Q fever",2007,"Māori",0,0
"Rickettsial disease",2007,"Māori",0,0
"Rubella",2007,"Māori",1,0.2
"Taeniasis",2007,"Māori",0,0
"Toxic shellfish poisoning",2007,"Māori",0,0
"Pertussis",2007,"Māori",41,7.8
"Leprosy",2007,"Māori",0,0
"Cryptosporidiosis",2007,"Māori",91,17.3
"Invasive pneumococcal disease",2007,"Māori",0,0
"Hydatid disease",2007,"Māori",2,0.4
"Haemophilus influenzae type b",2007,"Māori",5,1
"Mumps",2007,"Māori",15,2.9
"Meningococcal disease",2007,"Māori",35,6.7
"Rabies and other lyssaviruses",2007,"Māori",0,0
"Cysticercosis",2007,"Māori",0,0
"Measles",2007,"Māori",2,0.4
"Hepatitis C",2007,"Māori",3,0.6
"Cholera",2007,"Māori",0,0
"Yersiniosis",2007,"Māori",33,6.3
"Listeriosis",2007,"Māori",2,0.4
"Shigellosis",2007,"Māori",13,2.5
"Diphtheria",2007,"Māori",0,0
"Typhoid fever",2007,"Māori",3,0.6
"Malaria",2007,"Māori",1,0.2
"Legionellosis",2007,"Māori",8,1.5
"Hepatitis B",2007,"Māori",9,1.7
"Campylobacteriosis",2007,"Māori",654,124.7
"Leptospirosis",2007,"Māori",14,2.7
"Acute gastroenteritis",2007,"Māori",26,5
"Paratyphoid fever",2007,"Māori",1,0.2
"Salmonellosis",2007,"Māori",94,17.9
"Brucellosis",2007,"Māori",0,0
"Hepatitis A",2007,"Māori",3,0.6
"Hepatitis NOS",2007,"Māori",0,0
"Giardiasis",2007,"Māori",78,14.9
"Rickettsial disease",2007,"Pacific",0,0
"Tuberculosis disease",2007,"Pacific",27,10.8
"Tetanus",2007,"Pacific",0,0
"Mpox",2007,"Pacific",0,0
"Trichinosis",2007,"Pacific",0,0
"Q fever",2007,"Pacific",0,0
"Leprosy",2007,"Pacific",6,2.4
"Taeniasis",2007,"Pacific",0,0
"Toxic shellfish poisoning",2007,"Pacific",0,0
"Diphtheria",2007,"Pacific",0,0
"Meningoencephalitis - primary amoebic",2007,"Pacific",0,0
"Mumps",2007,"Pacific",20,8
"VTEC/STEC infection",2007,"Pacific",0,0
"Rheumatic fever",2007,"Pacific",60,23.9
"Rabies and other lyssaviruses",2007,"Pacific",0,0
"Pertussis",2007,"Pacific",12,4.8
"Poliomyelitis",2007,"Pacific",0,0
"Hepatitis C",2007,"Pacific",2,0.8
"Cysticercosis",2007,"Pacific",0,0
"Invasive pneumococcal disease",2007,"Pacific",0,0
"Shigellosis",2007,"Pacific",20,8
"Rubella",2007,"Pacific",0,0
"Hydatid disease",2007,"Pacific",0,0
"Meningococcal disease",2007,"Pacific",16,6.4
"Arboviral diseases",2007,"Pacific",28,11.2
"Measles",2007,"Pacific",0,0
"Brucellosis",2007,"Pacific",2,0.8
"Yersiniosis",2007,"Pacific",11,4.4
"Typhoid fever",2007,"Pacific",24,9.6
"Hepatitis B",2007,"Pacific",7,2.8
"Malaria",2007,"Pacific",2,0.8
"Leptospirosis",2007,"Pacific",0,0
"Cryptosporidiosis",2007,"Pacific",13,5.2
"Giardiasis",2007,"Pacific",8,3.2
"Acute gastroenteritis",2007,"Pacific",9,3.6
"Legionellosis",2007,"Pacific",0,0
"Listeriosis",2007,"Pacific",0,0
"Paratyphoid fever",2007,"Pacific",0,0
"Haemophilus influenzae type b",2007,"Pacific",0,0
"Hepatitis NOS",2007,"Pacific",0,0
"Salmonellosis",2007,"Pacific",48,19.1
"Campylobacteriosis",2007,"Pacific",135,53.8
"Hepatitis A",2007,"Pacific",6,2.4
"Cholera",2007,"Pacific",0,0
"Pertussis",2007,"Asian",13,3.8
"Taeniasis",2007,"Asian",0,0
"Meningococcal disease",2007,"Asian",6,1.7
"Arboviral diseases",2007,"Asian",8,2.3
"Trichinosis",2007,"Asian",0,0
"VTEC/STEC infection",2007,"Asian",5,1.5
"Cysticercosis",2007,"Asian",2,0.6
"Typhoid fever",2007,"Asian",18,5.2
"Rickettsial disease",2007,"Asian",0,0
"Rubella",2007,"Asian",1,0.3
"Tuberculosis disease",2007,"Asian",140,40.7
"Rabies and other lyssaviruses",2007,"Asian",0,0
"Tetanus",2007,"Asian",0,0
"Poliomyelitis",2007,"Asian",0,0
"Malaria",2007,"Asian",5,1.5
"Leptospirosis",2007,"Asian",2,0.6
"Diphtheria",2007,"Asian",0,0
"Rheumatic fever",2007,"Asian",4,1.2
"Toxic shellfish poisoning",2007,"Asian",0,0
"Leprosy",2007,"Asian",1,0.3
"Haemophilus influenzae type b",2007,"Asian",0,0
"Meningoencephalitis - primary amoebic",2007,"Asian",0,0
"Invasive pneumococcal disease",2007,"Asian",0,0
"Brucellosis",2007,"Asian",0,0
"Salmonellosis",2007,"Asian",46,13.4
"Mpox",2007,"Asian",0,0
"Mumps",2007,"Asian",11,3.2
"Listeriosis",2007,"Asian",2,0.6
"Yersiniosis",2007,"Asian",39,11.3
"Shigellosis",2007,"Asian",10,2.9
"Measles",2007,"Asian",0,0
"Hydatid disease",2007,"Asian",1,0.3
"Q fever",2007,"Asian",0,0
"Hepatitis B",2007,"Asian",11,3.2
"Hepatitis NOS",2007,"Asian",1,0.3
"Cholera",2007,"Asian",0,0
"Legionellosis",2007,"Asian",1,0.3
"Giardiasis",2007,"Asian",32,9.3
"Paratyphoid fever",2007,"Asian",15,4.4
"Cryptosporidiosis",2007,"Asian",15,4.4
"Hepatitis C",2007,"Asian",0,0
"Hepatitis A",2007,"Asian",12,3.5
"Campylobacteriosis",2007,"Asian",365,106
"Acute gastroenteritis",2007,"Asian",20,5.8
"Mpox",2007,"MELAA",0,0
"Rheumatic fever",2007,"MELAA",0,0
"Meningoencephalitis - primary amoebic",2007,"MELAA",0,0
"Rubella",2007,"MELAA",0,0
"Pertussis",2007,"MELAA",2,6
"Toxic shellfish poisoning",2007,"MELAA",0,0
"Poliomyelitis",2007,"MELAA",0,0
"Rickettsial disease",2007,"MELAA",0,0
"Taeniasis",2007,"MELAA",0,0
"Trichinosis",2007,"MELAA",0,0
"Measles",2007,"MELAA",4,12.1
"Malaria",2007,"MELAA",3,9
"Hepatitis NOS",2007,"MELAA",0,0
"Typhoid fever",2007,"MELAA",0,0
"Meningococcal disease",2007,"MELAA",0,0
"Yersiniosis",2007,"MELAA",5,15.1
"Shigellosis",2007,"MELAA",0,0
"Tuberculosis disease",2007,"MELAA",20,60.3
"Tetanus",2007,"MELAA",0,0
"Arboviral diseases",2007,"MELAA",0,0
"Leprosy",2007,"MELAA",1,3
"Haemophilus influenzae type b",2007,"MELAA",1,3
"Cholera",2007,"MELAA",0,0
"Mumps",2007,"MELAA",0,0
"Cysticercosis",2007,"MELAA",0,0
"Paratyphoid fever",2007,"MELAA",1,3
"Diphtheria",2007,"MELAA",0,0
"Hydatid disease",2007,"MELAA",1,3
"Q fever",2007,"MELAA",0,0
"Invasive pneumococcal disease",2007,"MELAA",0,0
"Hepatitis B",2007,"MELAA",0,0
"Rabies and other lyssaviruses",2007,"MELAA",0,0
"Listeriosis",2007,"MELAA",2,6
"Salmonellosis",2007,"MELAA",12,36.2
"Giardiasis",2007,"MELAA",11,33.2
"Cryptosporidiosis",2007,"MELAA",5,15.1
"Leptospirosis",2007,"MELAA",0,0
"Brucellosis",2007,"MELAA",2,6
"Hepatitis A",2007,"MELAA",2,6
"Legionellosis",2007,"MELAA",0,0
"VTEC/STEC infection",2007,"MELAA",2,6
"Acute gastroenteritis",2007,"MELAA",4,12.1
"Campylobacteriosis",2007,"MELAA",37,111.6
"Hepatitis C",2007,"MELAA",0,0
"Meningoencephalitis - primary amoebic",2007,"European or Others",0,0
"Leprosy",2007,"European or Others",0,0
"Rubella",2007,"European or Others",8,0.3
"Meningococcal disease",2007,"European or Others",57,2
"Toxic shellfish poisoning",2007,"European or Others",3,0.1
"VTEC/STEC infection",2007,"European or Others",78,2.7
"Taeniasis",2007,"European or Others",1,0
"Pertussis",2007,"European or Others",243,8.3
"Malaria",2007,"European or Others",9,0.3
"Haemophilus influenzae type b",2007,"European or Others",8,0.3
"Leptospirosis",2007,"European or Others",44,1.5
"Tetanus",2007,"European or Others",1,0
"Typhoid fever",2007,"European or Others",2,0.1
"Shigellosis",2007,"European or Others",65,2.2
"Tuberculosis disease",2007,"European or Others",40,1.4
"Hydatid disease",2007,"European or Others",2,0.1
"Arboviral diseases",2007,"European or Others",49,1.7
"Measles",2007,"European or Others",18,0.6
"Brucellosis",2007,"European or Others",0,0
"Rabies and other lyssaviruses",2007,"European or Others",0,0
"Mumps",2007,"European or Others",23,0.8
"Cysticercosis",2007,"European or Others",0,0
"Diphtheria",2007,"European or Others",0,0
"Listeriosis",2007,"European or Others",18,0.6
"Paratyphoid fever",2007,"European or Others",6,0.2
"Hepatitis A",2007,"European or Others",17,0.6
"Trichinosis",2007,"European or Others",0,0
"Rheumatic fever",2007,"European or Others",6,0.2
"Poliomyelitis",2007,"European or Others",0,0
"Rickettsial disease",2007,"European or Others",2,0.1
"Acute gastroenteritis",2007,"European or Others",460,15.8
"Q fever",2007,"European or Others",0,0
"Cholera",2007,"European or Others",1,0
"Cryptosporidiosis",2007,"European or Others",689,23.7
"Hepatitis B",2007,"European or Others",40,1.4
"Legionellosis",2007,"European or Others",42,1.4
"Giardiasis",2007,"European or Others",954,32.8
"Campylobacteriosis",2007,"European or Others",8544,293.5
"Invasive pneumococcal disease",2007,"European or Others",0,0
"Yersiniosis",2007,"European or Others",345,11.9
"Hepatitis NOS",2007,"European or Others",0,0
"Salmonellosis",2007,"European or Others",835,28.7
"Mpox",2007,"European or Others",0,0
"Hepatitis C",2007,"European or Others",23,0.8
"Pertussis",2008,"Māori",62,11.8
"Meningococcal disease",2008,"Māori",40,7.6
"Shigellosis",2008,"Māori",6,1.1
"VTEC/STEC infection",2008,"Māori",14,2.7
"Tuberculosis disease",2008,"Māori",45,8.5
"Typhoid fever",2008,"Māori",2,0.4
"Malaria",2008,"Māori",0,0
"Leptospirosis",2008,"Māori",30,5.7
"Paratyphoid fever",2008,"Māori",1,0.2
"Mumps",2008,"Māori",17,3.2
"Toxic shellfish poisoning",2008,"Māori",0,0
"Rheumatic fever",2008,"Māori",107,20.3
"Trichinosis",2008,"Māori",0,0
"Meningoencephalitis - primary amoebic",2008,"Māori",0,0
"Arboviral diseases",2008,"Māori",5,0.9
"Cryptosporidiosis",2008,"Māori",62,11.8
"Rubella",2008,"Māori",1,0.2
"Tetanus",2008,"Māori",0,0
"Cysticercosis",2008,"Māori",0,0
"Listeriosis",2008,"Māori",2,0.4
"Salmonellosis",2008,"Māori",131,24.9
"Poliomyelitis",2008,"Māori",0,0
"Measles",2008,"Māori",1,0.2
"Hydatid disease",2008,"Māori",1,0.2
"Yersiniosis",2008,"Māori",33,6.3
"Haemophilus influenzae type b",2008,"Māori",6,1.1
"Mpox",2008,"Māori",0,0
"Invasive pneumococcal disease",2008,"Māori",27,5.1
"Q fever",2008,"Māori",0,0
"Giardiasis",2008,"Māori",82,15.6
"Hepatitis NOS",2008,"Māori",0,0
"Acute gastroenteritis",2008,"Māori",38,7.2
"Legionellosis",2008,"Māori",4,0.8
"Hepatitis A",2008,"Māori",14,2.7
"Rickettsial disease",2008,"Māori",0,0
"Diphtheria",2008,"Māori",0,0
"Rabies and other lyssaviruses",2008,"Māori",0,0
"Campylobacteriosis",2008,"Māori",451,85.6
"Hepatitis B",2008,"Māori",5,0.9
"Taeniasis",2008,"Māori",0,0
"Cholera",2008,"Māori",0,0
"Hepatitis C",2008,"Māori",5,0.9
"Brucellosis",2008,"Māori",1,0.2
"Leprosy",2008,"Māori",0,0
"Malaria",2008,"Pacific",5,2
"Cysticercosis",2008,"Pacific",0,0
"Toxic shellfish poisoning",2008,"Pacific",0,0
"Mumps",2008,"Pacific",13,5.1
"Typhoid fever",2008,"Pacific",13,5.1
"Trichinosis",2008,"Pacific",0,0
"Meningococcal disease",2008,"Pacific",21,8.3
"Salmonellosis",2008,"Pacific",25,9.9
"Rubella",2008,"Pacific",0,0
"Diphtheria",2008,"Pacific",0,0
"Tetanus",2008,"Pacific",0,0
"Arboviral diseases",2008,"Pacific",44,17.3
"Rickettsial disease",2008,"Pacific",0,0
"Taeniasis",2008,"Pacific",0,0
"Hepatitis NOS",2008,"Pacific",0,0
"Listeriosis",2008,"Pacific",4,1.6
"Giardiasis",2008,"Pacific",12,4.7
"Shigellosis",2008,"Pacific",17,6.7
"Legionellosis",2008,"Pacific",0,0
"Pertussis",2008,"Pacific",11,4.3
"Meningoencephalitis - primary amoebic",2008,"Pacific",0,0
"Rheumatic fever",2008,"Pacific",31,12.2
"Poliomyelitis",2008,"Pacific",0,0
"Mpox",2008,"Pacific",0,0
"Q fever",2008,"Pacific",0,0
"Hepatitis B",2008,"Pacific",5,2
"Haemophilus influenzae type b",2008,"Pacific",1,0.4
"Cryptosporidiosis",2008,"Pacific",8,3.2
"Hepatitis C",2008,"Pacific",0,0
"Hepatitis A",2008,"Pacific",12,4.7
"Acute gastroenteritis",2008,"Pacific",19,7.5
"Paratyphoid fever",2008,"Pacific",0,0
"Leptospirosis",2008,"Pacific",3,1.2
"Hydatid disease",2008,"Pacific",1,0.4
"Measles",2008,"Pacific",0,0
"Leprosy",2008,"Pacific",3,1.2
"VTEC/STEC infection",2008,"Pacific",3,1.2
"Rabies and other lyssaviruses",2008,"Pacific",0,0
"Brucellosis",2008,"Pacific",2,0.8
"Campylobacteriosis",2008,"Pacific",144,56.8
"Cholera",2008,"Pacific",0,0
"Yersiniosis",2008,"Pacific",16,6.3
"Invasive pneumococcal disease",2008,"Pacific",17,6.7
"Tuberculosis disease",2008,"Pacific",52,20.5
"Arboviral diseases",2008,"Asian",14,4
"Hepatitis NOS",2008,"Asian",2,0.6
"Rubella",2008,"Asian",0,0
"Mumps",2008,"Asian",5,1.4
"Malaria",2008,"Asian",14,4
"Shigellosis",2008,"Asian",15,4.3
"VTEC/STEC infection",2008,"Asian",5,1.4
"Rabies and other lyssaviruses",2008,"Asian",0,0
"Toxic shellfish poisoning",2008,"Asian",0,0
"Trichinosis",2008,"Asian",0,0
"Haemophilus influenzae type b",2008,"Asian",0,0
"Cryptosporidiosis",2008,"Asian",20,5.7
"Hepatitis A",2008,"Asian",22,6.3
"Cysticercosis",2008,"Asian",0,0
"Diphtheria",2008,"Asian",0,0
"Leptospirosis",2008,"Asian",0,0
"Meningococcal disease",2008,"Asian",4,1.1
"Pertussis",2008,"Asian",8,2.3
"Leprosy",2008,"Asian",1,0.3
"Rheumatic fever",2008,"Asian",3,0.9
"Poliomyelitis",2008,"Asian",0,0
"Mpox",2008,"Asian",0,0
"Tetanus",2008,"Asian",0,0
"Brucellosis",2008,"Asian",0,0
"Q fever",2008,"Asian",0,0
"Cholera",2008,"Asian",0,0
"Salmonellosis",2008,"Asian",68,19.5
"Legionellosis",2008,"Asian",2,0.6
"Listeriosis",2008,"Asian",1,0.3
"Paratyphoid fever",2008,"Asian",14,4
"Typhoid fever",2008,"Asian",14,4
"Meningoencephalitis - primary amoebic",2008,"Asian",0,0
"Yersiniosis",2008,"Asian",72,20.7
"Tuberculosis disease",2008,"Asian",146,42
"Taeniasis",2008,"Asian",1,0.3
"Acute gastroenteritis",2008,"Asian",40,11.5
"Invasive pneumococcal disease",2008,"Asian",8,2.3
"Giardiasis",2008,"Asian",54,15.5
"Hepatitis B",2008,"Asian",6,1.7
"Hydatid disease",2008,"Asian",0,0
"Campylobacteriosis",2008,"Asian",270,77.6
"Rickettsial disease",2008,"Asian",0,0
"Measles",2008,"Asian",1,0.3
"Hepatitis C",2008,"Asian",0,0
"Haemophilus influenzae type b",2008,"MELAA",0,0
"Mumps",2008,"MELAA",2,6
"Meningoencephalitis - primary amoebic",2008,"MELAA",0,0
"Toxic shellfish poisoning",2008,"MELAA",0,0
"Taeniasis",2008,"MELAA",2,6
"Tetanus",2008,"MELAA",0,0
"Trichinosis",2008,"MELAA",0,0
"Hepatitis NOS",2008,"MELAA",0,0
"VTEC/STEC infection",2008,"MELAA",0,0
"Hepatitis A",2008,"MELAA",2,6
"Cysticercosis",2008,"MELAA",0,0
"Leptospirosis",2008,"MELAA",0,0
"Shigellosis",2008,"MELAA",1,3
"Malaria",2008,"MELAA",5,15
"Pertussis",2008,"MELAA",1,3
"Meningococcal disease",2008,"MELAA",2,6
"Tuberculosis disease",2008,"MELAA",11,32.9
"Rickettsial disease",2008,"MELAA",0,0
"Mpox",2008,"MELAA",0,0
"Invasive pneumococcal disease",2008,"MELAA",0,0
"Cryptosporidiosis",2008,"MELAA",2,6
"Cholera",2008,"MELAA",0,0
"Hepatitis C",2008,"MELAA",1,3
"Acute gastroenteritis",2008,"MELAA",2,6
"Legionellosis",2008,"MELAA",0,0
"Paratyphoid fever",2008,"MELAA",1,3
"Rubella",2008,"MELAA",0,0
"Typhoid fever",2008,"MELAA",0,0
"Hydatid disease",2008,"MELAA",1,3
"Rheumatic fever",2008,"MELAA",1,3
"Leprosy",2008,"MELAA",0,0
"Poliomyelitis",2008,"MELAA",0,0
"Rabies and other lyssaviruses",2008,"MELAA",0,0
"Arboviral diseases",2008,"MELAA",1,3
"Hepatitis B",2008,"MELAA",0,0
"Brucellosis",2008,"MELAA",0,0
"Campylobacteriosis",2008,"MELAA",27,80.8
