"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Invasive pneumococcal disease",2006,"60–64",0,0
"Salmonellosis",2006,"60–64",58,32.3
"Meningoencephalitis - primary amoebic",2006,"60–64",0,0
"Rubella",2006,"60–64",0,0
"Shigellosis",2006,"60–64",3,1.7
"Campylobacteriosis",2006,"60–64",788,439
"Rheumatic fever",2006,"60–64",0,0
"Measles",2006,"65–69",0,0
"Leptospirosis",2006,"65–69",1,0.7
"Hepatitis B",2006,"65–69",0,0
"Q fever",2006,"65–69",0,0
"Legionellosis",2006,"65–69",8,5.3
"VTEC/STEC infection",2006,"65–69",5,3.3
"Tetanus",2006,"65–69",0,0
"Brucellosis",2006,"65–69",0,0
"Paratyphoid fever",2006,"65–69",0,0
"Cysticercosis",2006,"65–69",0,0
"Toxic shellfish poisoning",2006,"65–69",0,0
"Listeriosis",2006,"65–69",4,2.7
"Taeniasis",2006,"65–69",0,0
"Cholera",2006,"65–69",0,0
"Cryptosporidiosis",2006,"65–69",3,2
"Hepatitis C",2006,"65–69",2,1.3
"Giardiasis",2006,"65–69",21,14
"Typhoid fever",2006,"65–69",2,1.3
"Rabies and other lyssaviruses",2006,"65–69",0,0
"Acute gastroenteritis",2006,"65–69",33,22.1
"Meningoencephalitis - primary amoebic",2006,"65–69",0,0
"Meningococcal disease",2006,"65–69",3,2
"Leprosy",2006,"65–69",0,0
"Invasive pneumococcal disease",2006,"65–69",0,0
"Diphtheria",2006,"65–69",0,0
"Poliomyelitis",2006,"65–69",0,0
"Rubella",2006,"65–69",0,0
"Malaria",2006,"65–69",1,0.7
"Trichinosis",2006,"65–69",0,0
"Campylobacteriosis",2006,"65–69",608,406.5
"Pertussis",2006,"65–69",48,32.1
"Salmonellosis",2006,"65–69",43,28.7
"Mumps",2006,"65–69",0,0
"Mpox",2006,"65–69",0,0
"Rheumatic fever",2006,"65–69",0,0
"Haemophilus influenzae type b",2006,"65–69",0,0
"Tuberculosis disease",2006,"65–69",11,7.4
"Hepatitis NOS",2006,"65–69",0,0
"Arboviral diseases",2006,"65–69",1,0.7
"Rickettsial disease",2006,"65–69",1,0.7
"Yersiniosis",2006,"65–69",14,9.4
"Hydatid disease",2006,"65–69",0,0
"Shigellosis",2006,"65–69",4,2.7
"Hepatitis A",2006,"65–69",0,0
"Tetanus",2006,"70–74",0,0
"Toxic shellfish poisoning",2006,"70–74",0,0
"Taeniasis",2006,"70–74",0,0
"Paratyphoid fever",2006,"70–74",0,0
"Hepatitis C",2006,"70–74",0,0
"Measles",2006,"70–74",0,0
"Malaria",2006,"70–74",2,1.7
"Cryptosporidiosis",2006,"70–74",3,2.6
"Listeriosis",2006,"70–74",2,1.7
"Salmonellosis",2006,"70–74",23,19.9
"Leprosy",2006,"70–74",0,0
"Invasive pneumococcal disease",2006,"70–74",0,0
"Diphtheria",2006,"70–74",0,0
"Giardiasis",2006,"70–74",15,13
"Brucellosis",2006,"70–74",0,0
"Tuberculosis disease",2006,"70–74",16,13.9
"Trichinosis",2006,"70–74",0,0
"Q fever",2006,"70–74",0,0
"Rickettsial disease",2006,"70–74",0,0
"Leptospirosis",2006,"70–74",0,0
"Cysticercosis",2006,"70–74",0,0
"Hepatitis B",2006,"70–74",0,0
"Poliomyelitis",2006,"70–74",0,0
"Mumps",2006,"70–74",0,0
"Mpox",2006,"70–74",0,0
"Meningoencephalitis - primary amoebic",2006,"70–74",0,0
"Acute gastroenteritis",2006,"70–74",39,33.8
"Pertussis",2006,"70–74",19,16.5
"VTEC/STEC infection",2006,"70–74",1,0.9
"Hydatid disease",2006,"70–74",0,0
"Yersiniosis",2006,"70–74",12,10.4
"Rubella",2006,"70–74",0,0
"Campylobacteriosis",2006,"70–74",478,413.9
"Meningococcal disease",2006,"70–74",1,0.9
"Shigellosis",2006,"70–74",1,0.9
"Legionellosis",2006,"70–74",6,5.2
"Hepatitis A",2006,"70–74",4,3.5
"Rabies and other lyssaviruses",2006,"70–74",0,0
"Arboviral diseases",2006,"70–74",0,0
"Typhoid fever",2006,"70–74",0,0
"Rheumatic fever",2006,"70–74",0,0
"Hepatitis NOS",2006,"70–74",0,0
"Cholera",2006,"70–74",0,0
"Haemophilus influenzae type b",2006,"70–74",0,0
"Leptospirosis",2006,"75–79",0,0
"Toxic shellfish poisoning",2006,"75–79",0,0
"Diphtheria",2006,"75–79",0,0
"Legionellosis",2006,"75–79",2,2
"VTEC/STEC infection",2006,"75–79",1,1
"Trichinosis",2006,"75–79",0,0
"Tetanus",2006,"75–79",0,0
"Cysticercosis",2006,"75–79",0,0
"Invasive pneumococcal disease",2006,"75–79",0,0
"Poliomyelitis",2006,"75–79",0,0
"Cryptosporidiosis",2006,"75–79",0,0
"Tuberculosis disease",2006,"75–79",12,12.1
"Meningoencephalitis - primary amoebic",2006,"75–79",0,0
"Hydatid disease",2006,"75–79",0,0
"Acute gastroenteritis",2006,"75–79",39,39.2
"Paratyphoid fever",2006,"75–79",0,0
"Rabies and other lyssaviruses",2006,"75–79",0,0
"Yersiniosis",2006,"75–79",9,9.1
"Hepatitis B",2006,"75–79",0,0
"Taeniasis",2006,"75–79",0,0
"Leprosy",2006,"75–79",0,0
"Giardiasis",2006,"75–79",14,14.1
"Haemophilus influenzae type b",2006,"75–79",0,0
"Malaria",2006,"75–79",1,1
"Mpox",2006,"75–79",0,0
"Measles",2006,"75–79",0,0
"Mumps",2006,"75–79",1,1
"Rickettsial disease",2006,"75–79",0,0
"Brucellosis",2006,"75–79",0,0
"Salmonellosis",2006,"75–79",26,26.2
"Shigellosis",2006,"75–79",1,1
"Meningococcal disease",2006,"75–79",5,5
"Hepatitis NOS",2006,"75–79",0,0
"Cholera",2006,"75–79",0,0
"Typhoid fever",2006,"75–79",0,0
"Campylobacteriosis",2006,"75–79",365,367.2
"Hepatitis A",2006,"75–79",2,2
"Hepatitis C",2006,"75–79",1,1
"Q fever",2006,"75–79",0,0
"Rubella",2006,"75–79",0,0
"Rheumatic fever",2006,"75–79",0,0
"Listeriosis",2006,"75–79",0,0
"Arboviral diseases",2006,"75–79",0,0
"Pertussis",2006,"75–79",21,21.1
"Tuberculosis disease",2006,"80–84",6,8.4
"VTEC/STEC infection",2006,"80–84",3,4.2
"Trichinosis",2006,"80–84",0,0
"Legionellosis",2006,"80–84",2,2.8
"Mpox",2006,"80–84",0,0
"Diphtheria",2006,"80–84",0,0
"Rabies and other lyssaviruses",2006,"80–84",0,0
"Malaria",2006,"80–84",0,0
"Paratyphoid fever",2006,"80–84",0,0
"Tetanus",2006,"80–84",0,0
"Rickettsial disease",2006,"80–84",0,0
"Acute gastroenteritis",2006,"80–84",51,71.7
"Leptospirosis",2006,"80–84",0,0
"Cysticercosis",2006,"80–84",0,0
"Invasive pneumococcal disease",2006,"80–84",0,0
"Toxic shellfish poisoning",2006,"80–84",0,0
"Cholera",2006,"80–84",0,0
"Listeriosis",2006,"80–84",3,4.2
"Meningoencephalitis - primary amoebic",2006,"80–84",0,0
"Poliomyelitis",2006,"80–84",0,0
"Cryptosporidiosis",2006,"80–84",1,1.4
"Brucellosis",2006,"80–84",0,0
"Hepatitis C",2006,"80–84",1,1.4
"Hydatid disease",2006,"80–84",0,0
"Hepatitis NOS",2006,"80–84",0,0
"Salmonellosis",2006,"80–84",14,19.7
"Mumps",2006,"80–84",0,0
"Leprosy",2006,"80–84",0,0
"Meningococcal disease",2006,"80–84",2,2.8
"Yersiniosis",2006,"80–84",10,14.1
"Taeniasis",2006,"80–84",0,0
"Giardiasis",2006,"80–84",8,11.3
"Hepatitis B",2006,"80–84",0,0
"Haemophilus influenzae type b",2006,"80–84",1,1.4
"Pertussis",2006,"80–84",7,9.8
"Measles",2006,"80–84",0,0
"Hepatitis A",2006,"80–84",1,1.4
"Rubella",2006,"80–84",0,0
"Q fever",2006,"80–84",0,0
"Campylobacteriosis",2006,"80–84",215,302.4
"Rheumatic fever",2006,"80–84",0,0
"Arboviral diseases",2006,"80–84",0,0
"Shigellosis",2006,"80–84",1,1.4
"Typhoid fever",2006,"80–84",0,0
"Cysticercosis",2006,"85+",0,0
"Meningococcal disease",2006,"85+",1,1.8
"Meningoencephalitis - primary amoebic",2006,"85+",0,0
"Taeniasis",2006,"85+",0,0
"Tuberculosis disease",2006,"85+",9,16.1
"Hydatid disease",2006,"85+",0,0
"Tetanus",2006,"85+",0,0
"VTEC/STEC infection",2006,"85+",0,0
"Acute gastroenteritis",2006,"85+",91,162.6
"Legionellosis",2006,"85+",3,5.4
"Leprosy",2006,"85+",0,0
"Salmonellosis",2006,"85+",10,17.9
"Invasive pneumococcal disease",2006,"85+",0,0
"Trichinosis",2006,"85+",0,0
"Diphtheria",2006,"85+",0,0
"Hepatitis B",2006,"85+",0,0
"Mpox",2006,"85+",0,0
"Cryptosporidiosis",2006,"85+",2,3.6
"Malaria",2006,"85+",0,0
"Hepatitis C",2006,"85+",0,0
"Paratyphoid fever",2006,"85+",0,0
"Q fever",2006,"85+",0,0
"Rickettsial disease",2006,"85+",0,0
"Hepatitis NOS",2006,"85+",0,0
"Yersiniosis",2006,"85+",6,10.7
"Leptospirosis",2006,"85+",0,0
"Toxic shellfish poisoning",2006,"85+",0,0
"Giardiasis",2006,"85+",4,7.1
"Haemophilus influenzae type b",2006,"85+",0,0
"Shigellosis",2006,"85+",0,0
"Listeriosis",2006,"85+",1,1.8
"Brucellosis",2006,"85+",0,0
"Measles",2006,"85+",0,0
"Pertussis",2006,"85+",3,5.4
"Rabies and other lyssaviruses",2006,"85+",0,0
"Rheumatic fever",2006,"85+",0,0
"Cholera",2006,"85+",0,0
"Mumps",2006,"85+",0,0
"Arboviral diseases",2006,"85+",0,0
"Poliomyelitis",2006,"85+",0,0
"Rubella",2006,"85+",0,0
"Hepatitis A",2006,"85+",1,1.8
"Typhoid fever",2006,"85+",0,0
"Campylobacteriosis",2006,"85+",156,278.8
"Rheumatic fever",2006,"5–9",29,10.4
"Q fever",2006,"5–9",0,0
"Yersiniosis",2006,"5–9",9,3.2
"Mumps",2006,"5–9",11,3.9
"Arboviral diseases",2006,"5–9",0,0
"Rickettsial disease",2006,"5–9",0,0
"Giardiasis",2006,"5–9",76,27.1
"Brucellosis",2006,"5–9",0,0
"Measles",2006,"5–9",0,0
"Meningococcal disease",2006,"5–9",9,3.2
"Tetanus",2006,"5–9",1,0.4
"Shigellosis",2006,"5–9",10,3.6
"VTEC/STEC infection",2006,"5–9",5,1.8
"Pertussis",2006,"5–9",77,27.5
"Acute gastroenteritis",2006,"5–9",10,3.6
"Hepatitis C",2006,"5–9",0,0
"Meningoencephalitis - primary amoebic",2006,"5–9",0,0
"Campylobacteriosis",2006,"5–9",679,242.4
"Poliomyelitis",2006,"5–9",0,0
"Salmonellosis",2006,"5–9",93,33.2
"Hepatitis A",2006,"5–9",19,6.8
"Diphtheria",2006,"5–9",0,0
"Tuberculosis disease",2006,"5–9",4,1.4
"Cholera",2006,"5–9",0,0
"Cysticercosis",2006,"5–9",0,0
"Typhoid fever",2006,"5–9",7,2.5
"Trichinosis",2006,"5–9",0,0
"Mpox",2006,"5–9",0,0
"Listeriosis",2006,"5–9",0,0
"Cryptosporidiosis",2006,"5–9",88,31.4
"Rubella",2006,"5–9",0,0
"Hepatitis NOS",2006,"5–9",0,0
"Legionellosis",2006,"5–9",0,0
"Hepatitis B",2006,"5–9",0,0
"Leprosy",2006,"5–9",0,0
"Toxic shellfish poisoning",2006,"5–9",0,0
"Invasive pneumococcal disease",2006,"5–9",0,0
"Hydatid disease",2006,"5–9",0,0
"Leptospirosis",2006,"5–9",0,0
"Paratyphoid fever",2006,"5–9",2,0.7
"Haemophilus influenzae type b",2006,"5–9",2,0.7
"Taeniasis",2006,"5–9",0,0
"Rabies and other lyssaviruses",2006,"5–9",0,0
"Malaria",2006,"5–9",1,0.4
"Arboviral diseases",2006,"10–14",0,0
"Meningococcal disease",2006,"10–14",6,2
"Typhoid fever",2006,"10–14",3,1
"Measles",2006,"10–14",0,0
"Rickettsial disease",2006,"10–14",0,0
"Mumps",2006,"10–14",11,3.7
"Salmonellosis",2006,"10–14",55,18.3
"Hydatid disease",2006,"10–14",0,0
"Rheumatic fever",2006,"10–14",51,17
"Campylobacteriosis",2006,"10–14",713,237.5
"Q fever",2006,"10–14",0,0
"Poliomyelitis",2006,"10–14",0,0
"Shigellosis",2006,"10–14",2,0.7
"Pertussis",2006,"10–14",94,31.3
"Acute gastroenteritis",2006,"10–14",19,6.3
"Tetanus",2006,"10–14",0,0
"Hepatitis A",2006,"10–14",11,3.7
"Giardiasis",2006,"10–14",24,8
"Tuberculosis disease",2006,"10–14",19,6.3
"Hepatitis NOS",2006,"10–14",0,0
"Yersiniosis",2006,"10–14",12,4
"Cysticercosis",2006,"10–14",0,0
"VTEC/STEC infection",2006,"10–14",3,1
"Rubella",2006,"10–14",1,0.3
"Cholera",2006,"10–14",0,0
"Paratyphoid fever",2006,"10–14",1,0.3
"Leprosy",2006,"10–14",0,0
"Mpox",2006,"10–14",0,0
"Hepatitis C",2006,"10–14",1,0.3
"Invasive pneumococcal disease",2006,"10–14",0,0
"Diphtheria",2006,"10–14",0,0
"Trichinosis",2006,"10–14",0,0
"Legionellosis",2006,"10–14",1,0.3
"Listeriosis",2006,"10–14",0,0
"Hepatitis B",2006,"10–14",1,0.3
"Leptospirosis",2006,"10–14",0,0
"Toxic shellfish poisoning",2006,"10–14",0,0
"Malaria",2006,"10–14",1,0.3
"Brucellosis",2006,"10–14",0,0
"Cryptosporidiosis",2006,"10–14",59,19.7
"Rabies and other lyssaviruses",2006,"10–14",0,0
"Haemophilus influenzae type b",2006,"10–14",0,0
"Taeniasis",2006,"10–14",0,0
"Meningoencephalitis - primary amoebic",2006,"10–14",0,0
"Rickettsial disease",2006,"15–19",0,0
"Poliomyelitis",2006,"15–19",0,0
"Campylobacteriosis",2006,"15–19",1251,411.7
"Salmonellosis",2006,"15–19",67,22.1
"Meningococcal disease",2006,"15–19",31,10.2
"Arboviral diseases",2006,"15–19",1,0.3
"Yersiniosis",2006,"15–19",14,4.6
"Toxic shellfish poisoning",2006,"15–19",0,0
"Paratyphoid fever",2006,"15–19",2,0.7
"Invasive pneumococcal disease",2006,"15–19",0,0
"Acute gastroenteritis",2006,"15–19",36,11.8
"Hepatitis A",2006,"15–19",14,4.6
"Hepatitis NOS",2006,"15–19",0,0
"Diphtheria",2006,"15–19",0,0
"Trichinosis",2006,"15–19",0,0
"Hydatid disease",2006,"15–19",0,0
"Rubella",2006,"15–19",0,0
"Haemophilus influenzae type b",2006,"15–19",0,0
"Shigellosis",2006,"15–19",3,1
"Rabies and other lyssaviruses",2006,"15–19",0,0
"Listeriosis",2006,"15–19",0,0
"Brucellosis",2006,"15–19",0,0
"Cholera",2006,"15–19",0,0
"Hepatitis B",2006,"15–19",4,1.3
"Measles",2006,"15–19",0,0
"Legionellosis",2006,"15–19",0,0
"Cryptosporidiosis",2006,"15–19",39,12.8
"Pertussis",2006,"15–19",92,30.3
"Hepatitis C",2006,"15–19",3,1
"Taeniasis",2006,"15–19",0,0
"Malaria",2006,"15–19",2,0.7
"Cysticercosis",2006,"15–19",0,0
"Leprosy",2006,"15–19",0,0
"Giardiasis",2006,"15–19",17,5.6
"Rheumatic fever",2006,"15–19",15,4.9
"Leptospirosis",2006,"15–19",3,1
"VTEC/STEC infection",2006,"15–19",1,0.3
"Q fever",2006,"15–19",0,0
"Tetanus",2006,"15–19",0,0
"Meningoencephalitis - primary amoebic",2006,"15–19",0,0
"Typhoid fever",2006,"15–19",5,1.6
"Tuberculosis disease",2006,"15–19",20,6.6
"Mpox",2006,"15–19",0,0
"Mumps",2006,"15–19",1,0.3
"Acute gastroenteritis",2006,"20–24",37,13.2
"Hepatitis NOS",2006,"20–24",0,0
"Salmonellosis",2006,"20–24",108,38.5
"Brucellosis",2006,"20–24",0,0
"Campylobacteriosis",2006,"20–24",1651,588.3
"Haemophilus influenzae type b",2006,"20–24",0,0
"Rabies and other lyssaviruses",2006,"20–24",0,0
"Yersiniosis",2006,"20–24",31,11
"Trichinosis",2006,"20–24",0,0
"Diphtheria",2006,"20–24",0,0
"Rubella",2006,"20–24",0,0
"Cryptosporidiosis",2006,"20–24",50,17.8
"Toxic shellfish poisoning",2006,"20–24",0,0
"Legionellosis",2006,"20–24",0,0
"Cholera",2006,"20–24",0,0
"Malaria",2006,"20–24",8,2.9
"Hydatid disease",2006,"20–24",0,0
"Taeniasis",2006,"20–24",0,0
"Invasive pneumococcal disease",2006,"20–24",0,0
"Cysticercosis",2006,"20–24",0,0
"Meningoencephalitis - primary amoebic",2006,"20–24",0,0
"Typhoid fever",2006,"20–24",2,0.7
"Mpox",2006,"20–24",0,0
"Pertussis",2006,"20–24",68,24.2
"Tuberculosis disease",2006,"20–24",51,18.2
"Measles",2006,"20–24",0,0
"VTEC/STEC infection",2006,"20–24",3,1.1
"Leptospirosis",2006,"20–24",7,2.5
"Hepatitis B",2006,"20–24",8,2.9
"Rheumatic fever",2006,"20–24",3,1.1
"Meningococcal disease",2006,"20–24",11,3.9
"Mumps",2006,"20–24",1,0.4
"Paratyphoid fever",2006,"20–24",2,0.7
"Poliomyelitis",2006,"20–24",0,0
"Hepatitis A",2006,"20–24",6,2.1
"Leprosy",2006,"20–24",0,0
"Hepatitis C",2006,"20–24",4,1.4
"Q fever",2006,"20–24",0,0
"Arboviral diseases",2006,"20–24",7,2.5
"Tetanus",2006,"20–24",0,0
"Shigellosis",2006,"20–24",10,3.6
"Giardiasis",2006,"20–24",49,17.5
"Rickettsial disease",2006,"20–24",1,0.4
"Listeriosis",2006,"20–24",2,0.7
"Campylobacteriosis",2006,"25–29",1237,500.2
"Paratyphoid fever",2006,"25–29",5,2
"Malaria",2006,"25–29",0,0
"Legionellosis",2006,"25–29",1,0.4
"Rheumatic fever",2006,"25–29",6,2.4
"Giardiasis",2006,"25–29",73,29.5
"Rabies and other lyssaviruses",2006,"25–29",0,0
"Typhoid fever",2006,"25–29",2,0.8
"Shigellosis",2006,"25–29",8,3.2
"Tuberculosis disease",2006,"25–29",37,15
"Diphtheria",2006,"25–29",0,0
"Measles",2006,"25–29",0,0
"Hepatitis A",2006,"25–29",5,2
"Mumps",2006,"25–29",1,0.4
"Leptospirosis",2006,"25–29",5,2
"Taeniasis",2006,"25–29",0,0
