"Disease","Report Year","DHBName","Sex Group","Case Count","Case rate per 100,000"
"Haemophilus influenzae type b",2006,"Auckland","Male",1,0.5
"Trichinosis",2006,"Auckland","Male",0,0
"Typhoid fever",2006,"Auckland","Male",0,0
"Salmonellosis",2006,"Auckland","Male",54,27.2
"Diphtheria",2006,"Auckland","Male",0,0
"Rheumatic fever",2006,"Auckland","Male",4,2
"Invasive pneumococcal disease",2006,"Auckland","Male",0,0
"Cholera",2006,"Auckland","Male",0,0
"Hepatitis A",2006,"Auckland","Male",4,2
"Cryptosporidiosis",2006,"Auckland","Male",15,7.6
"Rubella",2006,"Auckland","Male",1,0.5
"Listeriosis",2006,"Auckland","Male",1,0.5
"Paratyphoid fever",2006,"Auckland","Male",0,0
"Rickettsial disease",2006,"Auckland","Male",0,0
"Legionellosis",2006,"Auckland","Male",2,1
"Taeniasis",2006,"Auckland","Male",0,0
"Arboviral diseases",2006,"Auckland","Male",0,0
"Acute gastroenteritis",2006,"Auckland","Male",33,16.6
"Malaria",2006,"Auckland","Male",2,1
"Yersiniosis",2006,"Auckland","Male",18,9.1
"Meningococcal disease",2006,"Auckland","Male",5,2.5
"Hepatitis C",2006,"Auckland","Male",0,0
"Brucellosis",2006,"Auckland","Male",0,0
"Mumps",2006,"Auckland","Male",3,1.5
"Measles",2006,"Auckland","Male",0,0
"Poliomyelitis",2006,"Auckland","Male",0,0
"Mpox",2006,"Auckland","Male",0,0
"Leptospirosis",2006,"Auckland","Male",0,0
"Hepatitis B",2006,"Auckland","Male",4,2
"Tuberculosis disease",2006,"Auckland","Male",26,13.1
"Toxic shellfish poisoning",2006,"Auckland","Female",0,0
"Pertussis",2006,"Auckland","Female",8,3.8
"Rubella",2006,"Auckland","Female",1,0.5
"Listeriosis",2006,"Auckland","Female",0,0
"Rabies and other lyssaviruses",2006,"Auckland","Female",0,0
"Hydatid disease",2006,"Auckland","Female",0,0
"Meningococcal disease",2006,"Auckland","Female",10,4.8
"Rheumatic fever",2006,"Auckland","Female",0,0
"Cryptosporidiosis",2006,"Auckland","Female",19,9.1
"Cysticercosis",2006,"Auckland","Female",0,0
"Rickettsial disease",2006,"Auckland","Female",0,0
"Giardiasis",2006,"Auckland","Female",60,28.8
"Leptospirosis",2006,"Auckland","Female",0,0
"Q fever",2006,"Auckland","Female",0,0
"Hepatitis A",2006,"Auckland","Female",6,2.9
"Measles",2006,"Auckland","Female",1,0.5
"Campylobacteriosis",2006,"Auckland","Female",811,389.5
"Tetanus",2006,"Auckland","Female",0,0
"Mpox",2006,"Auckland","Female",0,0
"Poliomyelitis",2006,"Auckland","Female",0,0
"Haemophilus influenzae type b",2006,"Auckland","Female",0,0
"Cholera",2006,"Auckland","Female",0,0
"Salmonellosis",2006,"Auckland","Female",50,24
"Brucellosis",2006,"Auckland","Female",0,0
"Acute gastroenteritis",2006,"Auckland","Female",50,24
"Typhoid fever",2006,"Auckland","Female",1,0.5
"Taeniasis",2006,"Auckland","Female",0,0
"Tuberculosis disease",2006,"Auckland","Female",30,14.4
"Yersiniosis",2006,"Auckland","Female",18,8.6
"Leprosy",2006,"Auckland","Female",0,0
"Legionellosis",2006,"Auckland","Female",2,1
"Arboviral diseases",2006,"Auckland","Female",1,0.5
"Malaria",2006,"Auckland","Female",2,1
"Trichinosis",2006,"Auckland","Female",0,0
"Paratyphoid fever",2006,"Auckland","Female",2,1
"Invasive pneumococcal disease",2006,"Auckland","Female",0,0
"Hepatitis NOS",2006,"Auckland","Female",0,0
"Shigellosis",2006,"Auckland","Female",16,7.7
"VTEC/STEC infection",2006,"Auckland","Female",1,0.5
"Meningoencephalitis - primary amoebic",2006,"Auckland","Female",0,0
"Mumps",2006,"Auckland","Female",2,1
"Hepatitis C",2006,"Auckland","Female",1,0.5
"Diphtheria",2006,"Auckland","Female",0,0
"Hepatitis B",2006,"Auckland","Female",2,1
"Listeriosis",2006,"Bay of Plenty","Male",1,1.1
"Pertussis",2006,"Bay of Plenty","Male",32,34.2
"Leptospirosis",2006,"Bay of Plenty","Male",7,7.5
"Acute gastroenteritis",2006,"Bay of Plenty","Male",7,7.5
"Rubella",2006,"Bay of Plenty","Male",0,0
"Legionellosis",2006,"Bay of Plenty","Male",2,2.1
"Trichinosis",2006,"Bay of Plenty","Male",0,0
"Mumps",2006,"Bay of Plenty","Male",2,2.1
"Meningococcal disease",2006,"Bay of Plenty","Male",1,1.1
"Cryptosporidiosis",2006,"Bay of Plenty","Male",10,10.7
"Toxic shellfish poisoning",2006,"Bay of Plenty","Male",0,0
"Poliomyelitis",2006,"Bay of Plenty","Male",0,0
"Cholera",2006,"Bay of Plenty","Male",0,0
"Shigellosis",2006,"Bay of Plenty","Male",0,0
"Campylobacteriosis",2006,"Bay of Plenty","Male",354,377.9
"Hepatitis A",2006,"Bay of Plenty","Male",1,1.1
"Measles",2006,"Bay of Plenty","Male",0,0
"Cysticercosis",2006,"Bay of Plenty","Male",0,0
"Taeniasis",2006,"Bay of Plenty","Male",0,0
"Rheumatic fever",2006,"Bay of Plenty","Male",3,3.2
"Diphtheria",2006,"Bay of Plenty","Male",0,0
"Paratyphoid fever",2006,"Bay of Plenty","Male",0,0
"Typhoid fever",2006,"Bay of Plenty","Male",0,0
"Rabies and other lyssaviruses",2006,"Bay of Plenty","Male",0,0
"Hepatitis B",2006,"Bay of Plenty","Male",0,0
"Tuberculosis disease",2006,"Bay of Plenty","Male",3,3.2
"Malaria",2006,"Bay of Plenty","Male",0,0
"Rickettsial disease",2006,"Bay of Plenty","Male",0,0
"Haemophilus influenzae type b",2006,"Bay of Plenty","Male",1,1.1
"Brucellosis",2006,"Bay of Plenty","Male",0,0
"Giardiasis",2006,"Bay of Plenty","Male",26,27.8
"Q fever",2006,"Bay of Plenty","Male",0,0
"Tetanus",2006,"Bay of Plenty","Male",0,0
"Leprosy",2006,"Bay of Plenty","Male",0,0
"Invasive pneumococcal disease",2006,"Bay of Plenty","Male",0,0
"Mpox",2006,"Bay of Plenty","Male",0,0
"Meningoencephalitis - primary amoebic",2006,"Bay of Plenty","Male",0,0
"Hepatitis NOS",2006,"Bay of Plenty","Male",0,0
"Hydatid disease",2006,"Bay of Plenty","Male",0,0
"Salmonellosis",2006,"Bay of Plenty","Male",23,24.6
"Hepatitis C",2006,"Bay of Plenty","Male",1,1.1
"Arboviral diseases",2006,"Bay of Plenty","Male",1,1.1
"Yersiniosis",2006,"Bay of Plenty","Male",15,16
"VTEC/STEC infection",2006,"Bay of Plenty","Male",0,0
"Legionellosis",2006,"Bay of Plenty","Female",2,2
"Cryptosporidiosis",2006,"Bay of Plenty","Female",15,15.1
"Listeriosis",2006,"Bay of Plenty","Female",0,0
"Meningococcal disease",2006,"Bay of Plenty","Female",2,2
"Campylobacteriosis",2006,"Bay of Plenty","Female",289,291.7
"VTEC/STEC infection",2006,"Bay of Plenty","Female",2,2
"Cholera",2006,"Bay of Plenty","Female",0,0
"Mumps",2006,"Bay of Plenty","Female",1,1
"Shigellosis",2006,"Bay of Plenty","Female",2,2
"Paratyphoid fever",2006,"Bay of Plenty","Female",1,1
"Mpox",2006,"Bay of Plenty","Female",0,0
"Hepatitis A",2006,"Bay of Plenty","Female",2,2
"Measles",2006,"Bay of Plenty","Female",1,1
"Malaria",2006,"Bay of Plenty","Female",0,0
"Rickettsial disease",2006,"Bay of Plenty","Female",0,0
"Salmonellosis",2006,"Bay of Plenty","Female",27,27.3
"Toxic shellfish poisoning",2006,"Bay of Plenty","Female",0,0
"Pertussis",2006,"Bay of Plenty","Female",47,47.4
"Leprosy",2006,"Bay of Plenty","Female",0,0
"Rheumatic fever",2006,"Bay of Plenty","Female",0,0
"Tuberculosis disease",2006,"Bay of Plenty","Female",4,4
"Taeniasis",2006,"Bay of Plenty","Female",0,0
"Giardiasis",2006,"Bay of Plenty","Female",39,39.4
"Arboviral diseases",2006,"Bay of Plenty","Female",1,1
"Rabies and other lyssaviruses",2006,"Bay of Plenty","Female",0,0
"Leptospirosis",2006,"Bay of Plenty","Female",1,1
"Acute gastroenteritis",2006,"Bay of Plenty","Female",9,9.1
"Cysticercosis",2006,"Bay of Plenty","Female",0,0
"Tetanus",2006,"Bay of Plenty","Female",0,0
"Poliomyelitis",2006,"Bay of Plenty","Female",0,0
"Diphtheria",2006,"Bay of Plenty","Female",0,0
"Invasive pneumococcal disease",2006,"Bay of Plenty","Female",0,0
"Typhoid fever",2006,"Bay of Plenty","Female",1,1
"Haemophilus influenzae type b",2006,"Bay of Plenty","Female",1,1
"Hepatitis B",2006,"Bay of Plenty","Female",0,0
"Trichinosis",2006,"Bay of Plenty","Female",0,0
"Yersiniosis",2006,"Bay of Plenty","Female",14,14.1
"Hydatid disease",2006,"Bay of Plenty","Female",0,0
"Hepatitis NOS",2006,"Bay of Plenty","Female",0,0
"Brucellosis",2006,"Bay of Plenty","Female",0,0
"Rubella",2006,"Bay of Plenty","Female",0,0
"Meningoencephalitis - primary amoebic",2006,"Bay of Plenty","Female",0,0
"Hepatitis C",2006,"Bay of Plenty","Female",0,0
"Q fever",2006,"Bay of Plenty","Female",0,0
"Arboviral diseases",2006,"Capital, Coast and Hutt Valley","Male",5,3.9
"Legionellosis",2006,"Capital, Coast and Hutt Valley","Male",6,4.6
"Campylobacteriosis",2006,"Capital, Coast and Hutt Valley","Male",1041,804.3
"Hepatitis A",2006,"Capital, Coast and Hutt Valley","Male",5,3.9
"Measles",2006,"Capital, Coast and Hutt Valley","Male",1,0.8
"Listeriosis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Malaria",2006,"Capital, Coast and Hutt Valley","Male",3,2.3
"Pertussis",2006,"Capital, Coast and Hutt Valley","Male",60,46.4
"Cryptosporidiosis",2006,"Capital, Coast and Hutt Valley","Male",32,24.7
"Diphtheria",2006,"Capital, Coast and Hutt Valley","Male",0,0
"VTEC/STEC infection",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Mpox",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Tuberculosis disease",2006,"Capital, Coast and Hutt Valley","Male",22,17
"Salmonellosis",2006,"Capital, Coast and Hutt Valley","Male",76,58.7
"Giardiasis",2006,"Capital, Coast and Hutt Valley","Male",66,51
"Acute gastroenteritis",2006,"Capital, Coast and Hutt Valley","Male",49,37.9
"Hepatitis B",2006,"Capital, Coast and Hutt Valley","Male",3,2.3
"Trichinosis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Yersiniosis",2006,"Capital, Coast and Hutt Valley","Male",43,33.2
"Tetanus",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Brucellosis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Rabies and other lyssaviruses",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Mumps",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Poliomyelitis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Rheumatic fever",2006,"Capital, Coast and Hutt Valley","Male",12,9.3
"Taeniasis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Q fever",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Leprosy",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Hydatid disease",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Hepatitis NOS",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Cholera",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Typhoid fever",2006,"Capital, Coast and Hutt Valley","Male",1,0.8
"Hepatitis C",2006,"Capital, Coast and Hutt Valley","Male",4,3.1
"Cysticercosis",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Haemophilus influenzae type b",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Shigellosis",2006,"Capital, Coast and Hutt Valley","Male",7,5.4
"Meningoencephalitis - primary amoebic",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Leptospirosis",2006,"Capital, Coast and Hutt Valley","Male",3,2.3
"Rubella",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Rickettsial disease",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Invasive pneumococcal disease",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Paratyphoid fever",2006,"Capital, Coast and Hutt Valley","Male",1,0.8
"Meningococcal disease",2006,"Capital, Coast and Hutt Valley","Male",7,5.4
"Toxic shellfish poisoning",2006,"Capital, Coast and Hutt Valley","Male",0,0
"Tetanus",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Rickettsial disease",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Hepatitis A",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Yersiniosis",2006,"Capital, Coast and Hutt Valley","Female",34,24.5
"Mumps",2006,"Capital, Coast and Hutt Valley","Female",3,2.2
"Pertussis",2006,"Capital, Coast and Hutt Valley","Female",75,54.1
"Hepatitis C",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Haemophilus influenzae type b",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Rabies and other lyssaviruses",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Acute gastroenteritis",2006,"Capital, Coast and Hutt Valley","Female",55,39.7
"Tuberculosis disease",2006,"Capital, Coast and Hutt Valley","Female",17,12.3
"Typhoid fever",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Q fever",2006,"Capital, Coast and Hutt Valley","Female",0,0
"VTEC/STEC infection",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Cholera",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Arboviral diseases",2006,"Capital, Coast and Hutt Valley","Female",4,2.9
"Meningoencephalitis - primary amoebic",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Meningococcal disease",2006,"Capital, Coast and Hutt Valley","Female",6,4.3
"Campylobacteriosis",2006,"Capital, Coast and Hutt Valley","Female",953,687.5
"Trichinosis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Brucellosis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Leprosy",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Rheumatic fever",2006,"Capital, Coast and Hutt Valley","Female",3,2.2
"Measles",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Hepatitis B",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Leptospirosis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Hepatitis NOS",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Rubella",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Cryptosporidiosis",2006,"Capital, Coast and Hutt Valley","Female",47,33.9
"Legionellosis",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Salmonellosis",2006,"Capital, Coast and Hutt Valley","Female",78,56.3
"Giardiasis",2006,"Capital, Coast and Hutt Valley","Female",60,43.3
"Diphtheria",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Invasive pneumococcal disease",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Paratyphoid fever",2006,"Capital, Coast and Hutt Valley","Female",1,0.7
"Malaria",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Shigellosis",2006,"Capital, Coast and Hutt Valley","Female",3,2.2
"Listeriosis",2006,"Capital, Coast and Hutt Valley","Female",2,1.4
"Mpox",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Hydatid disease",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Toxic shellfish poisoning",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Cysticercosis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Taeniasis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Poliomyelitis",2006,"Capital, Coast and Hutt Valley","Female",0,0
"Trichinosis",2006,"Nelson Marlborough","Male",0,0
"Giardiasis",2006,"Nelson Marlborough","Male",18,28.2
"Rabies and other lyssaviruses",2006,"Nelson Marlborough","Male",0,0
"Pertussis",2006,"Nelson Marlborough","Male",30,47
"Rickettsial disease",2006,"Nelson Marlborough","Male",0,0
"Malaria",2006,"Nelson Marlborough","Male",0,0
"Tuberculosis disease",2006,"Nelson Marlborough","Male",1,1.6
"Cryptosporidiosis",2006,"Nelson Marlborough","Male",5,7.8
"Rubella",2006,"Nelson Marlborough","Male",0,0
"Tetanus",2006,"Nelson Marlborough","Male",0,0
"Hepatitis NOS",2006,"Nelson Marlborough","Male",0,0
"Acute gastroenteritis",2006,"Nelson Marlborough","Male",14,22
"Mumps",2006,"Nelson Marlborough","Male",0,0
"Cysticercosis",2006,"Nelson Marlborough","Male",0,0
"Listeriosis",2006,"Nelson Marlborough","Male",1,1.6
"Campylobacteriosis",2006,"Nelson Marlborough","Male",179,280.7
"Salmonellosis",2006,"Nelson Marlborough","Male",25,39.2
"Toxic shellfish poisoning",2006,"Nelson Marlborough","Male",0,0
"Taeniasis",2006,"Nelson Marlborough","Male",0,0
"Measles",2006,"Nelson Marlborough","Male",0,0
"Leptospirosis",2006,"Nelson Marlborough","Male",3,4.7
"Paratyphoid fever",2006,"Nelson Marlborough","Male",2,3.1
"Meningoencephalitis - primary amoebic",2006,"Nelson Marlborough","Male",0,0
"VTEC/STEC infection",2006,"Nelson Marlborough","Male",3,4.7
"Hepatitis B",2006,"Nelson Marlborough","Male",0,0
"Hepatitis A",2006,"Nelson Marlborough","Male",1,1.6
"Typhoid fever",2006,"Nelson Marlborough","Male",0,0
"Legionellosis",2006,"Nelson Marlborough","Male",1,1.6
"Yersiniosis",2006,"Nelson Marlborough","Male",12,18.8
"Cholera",2006,"Nelson Marlborough","Male",0,0
"Invasive pneumococcal disease",2006,"Nelson Marlborough","Male",0,0
"Hepatitis C",2006,"Nelson Marlborough","Male",0,0
"Shigellosis",2006,"Nelson Marlborough","Male",4,6.3
"Leprosy",2006,"Nelson Marlborough","Male",0,0
"Q fever",2006,"Nelson Marlborough","Male",0,0
"Hydatid disease",2006,"Nelson Marlborough","Male",0,0
"Meningococcal disease",2006,"Nelson Marlborough","Male",3,4.7
"Poliomyelitis",2006,"Nelson Marlborough","Male",0,0
"Brucellosis",2006,"Nelson Marlborough","Male",0,0
"Mpox",2006,"Nelson Marlborough","Male",0,0
"Haemophilus influenzae type b",2006,"Nelson Marlborough","Male",0,0
"Rheumatic fever",2006,"Nelson Marlborough","Male",0,0
"Diphtheria",2006,"Nelson Marlborough","Male",0,0
"Arboviral diseases",2006,"Nelson Marlborough","Male",2,3.1
"Hydatid disease",2006,"Nelson Marlborough","Female",0,0
"Trichinosis",2006,"Nelson Marlborough","Female",0,0
"Rickettsial disease",2006,"Nelson Marlborough","Female",0,0
"Hepatitis B",2006,"Nelson Marlborough","Female",0,0
"Cysticercosis",2006,"Nelson Marlborough","Female",0,0
"Mumps",2006,"Nelson Marlborough","Female",0,0
"Campylobacteriosis",2006,"Nelson Marlborough","Female",172,262.8
"Yersiniosis",2006,"Nelson Marlborough","Female",5,7.6
"Legionellosis",2006,"Nelson Marlborough","Female",1,1.5
"Tuberculosis disease",2006,"Nelson Marlborough","Female",3,4.6
"Meningococcal disease",2006,"Nelson Marlborough","Female",2,3.1
"Paratyphoid fever",2006,"Nelson Marlborough","Female",0,0
"Salmonellosis",2006,"Nelson Marlborough","Female",23,35.1
"Giardiasis",2006,"Nelson Marlborough","Female",20,30.6
"Toxic shellfish poisoning",2006,"Nelson Marlborough","Female",0,0
"Poliomyelitis",2006,"Nelson Marlborough","Female",0,0
"Measles",2006,"Nelson Marlborough","Female",2,3.1
"Acute gastroenteritis",2006,"Nelson Marlborough","Female",9,13.8
"Rubella",2006,"Nelson Marlborough","Female",0,0
"Hepatitis A",2006,"Nelson Marlborough","Female",0,0
"Shigellosis",2006,"Nelson Marlborough","Female",3,4.6
"Rabies and other lyssaviruses",2006,"Nelson Marlborough","Female",0,0
"Arboviral diseases",2006,"Nelson Marlborough","Female",0,0
"Mpox",2006,"Nelson Marlborough","Female",0,0
"Typhoid fever",2006,"Nelson Marlborough","Female",2,3.1
"Listeriosis",2006,"Nelson Marlborough","Female",0,0
"Pertussis",2006,"Nelson Marlborough","Female",31,47.4
"Malaria",2006,"Nelson Marlborough","Female",1,1.5
"Leprosy",2006,"Nelson Marlborough","Female",0,0
"Taeniasis",2006,"Nelson Marlborough","Female",0,0
"Leptospirosis",2006,"Nelson Marlborough","Female",0,0
"Meningoencephalitis - primary amoebic",2006,"Nelson Marlborough","Female",0,0
"Cholera",2006,"Nelson Marlborough","Female",0,0
"Diphtheria",2006,"Nelson Marlborough","Female",0,0
"Brucellosis",2006,"Nelson Marlborough","Female",0,0
"Hepatitis NOS",2006,"Nelson Marlborough","Female",0,0
"VTEC/STEC infection",2006,"Nelson Marlborough","Female",3,4.6
"Cryptosporidiosis",2006,"Nelson Marlborough","Female",18,27.5
"Q fever",2006,"Nelson Marlborough","Female",0,0
"Invasive pneumococcal disease",2006,"Nelson Marlborough","Female",0,0
"Hepatitis C",2006,"Nelson Marlborough","Female",0,0
"Haemophilus influenzae type b",2006,"Nelson Marlborough","Female",0,0
"Rheumatic fever",2006,"Nelson Marlborough","Female",0,0
"Tetanus",2006,"Nelson Marlborough","Female",0,0
"Campylobacteriosis",2006,"Canterbury","Male",1039,451.2
"Leprosy",2006,"Canterbury","Male",0,0
"Trichinosis",2006,"Canterbury","Male",0,0
"Paratyphoid fever",2006,"Canterbury","Male",0,0
"Giardiasis",2006,"Canterbury","Male",59,25.6
"Legionellosis",2006,"Canterbury","Male",2,0.9
"Poliomyelitis",2006,"Canterbury","Male",0,0
"Salmonellosis",2006,"Canterbury","Male",74,32.1
"Mumps",2006,"Canterbury","Male",2,0.9
"Tetanus",2006,"Canterbury","Male",0,0
"Mpox",2006,"Canterbury","Male",0,0
"Rickettsial disease",2006,"Canterbury","Male",0,0
"Listeriosis",2006,"Canterbury","Male",0,0
"Yersiniosis",2006,"Canterbury","Male",34,14.8
"Measles",2006,"Canterbury","Male",2,0.9
"Tuberculosis disease",2006,"Canterbury","Male",11,4.8
"Taeniasis",2006,"Canterbury","Male",0,0
"Hydatid disease",2006,"Canterbury","Male",0,0
"Meningoencephalitis - primary amoebic",2006,"Canterbury","Male",0,0
"Typhoid fever",2006,"Canterbury","Male",0,0
"VTEC/STEC infection",2006,"Canterbury","Male",7,3
