"Disease","Report Year","Case Count","Case rate per 100,000"
"Hepatitis A",2009,44,1.1
"Hydatid disease",2009,2,0
"Leptospirosis",2009,68,1.6
"Rheumatic fever",2009,141,3.4
"Listeriosis",2009,28,0.7
"VTEC/STEC infection",2009,143,3.4
"Hepatitis B",2009,55,1.3
"Leprosy",2009,3,0.1
"Tetanus",2009,1,0
"Acute gastroenteritis",2009,712,17.2
"Rabies and other lyssaviruses",2009,0,0
"Poliomyelitis",2009,0,0
"Brucellosis",2009,0,0
"Meningoencephalitis - primary amoebic",2009,0,0
"Yersiniosis",2009,430,10.4
"Giardiasis",2009,1639,39.5
"Hepatitis NOS",2009,2,0
"Q fever",2009,0,0
"Cysticercosis",2009,0,0
"Paratyphoid fever",2009,25,0.6
"Toxic shellfish poisoning",2009,1,0
"Hepatitis C",2009,32,0.8
"Tuberculosis disease",2009,298,7.2
"Trichinosis",2009,0,0
"Invasive pneumococcal disease",2009,687,16.6
"Taeniasis",2009,3,0.1
"Shigellosis",2009,119,2.9
"Campylobacteriosis",2009,7177,173.1
"Cholera",2009,0,0
"Salmonellosis",2009,1128,27.2
"Cryptosporidiosis",2009,854,20.6
"Meningococcal disease",2010,97,2.3
"Rickettsial disease",2010,13,0.3
"Leprosy",2010,3,0.1
"Malaria",2010,44,1
"Diphtheria",2010,0,0
"Typhoid fever",2010,31,0.7
"Arboviral diseases",2010,55,1.3
"Measles",2010,48,1.1
"Haemophilus influenzae type b",2010,8,0.2
"Meningoencephalitis - primary amoebic",2010,0,0
"Hepatitis A",2010,46,1.1
"Hydatid disease",2010,4,0.1
"Leptospirosis",2010,81,1.9
"Q fever",2010,1,0
"Cysticercosis",2010,0,0
"Rubella",2010,4,0.1
"Legionellosis",2010,173,4.1
"Tetanus",2010,7,0.2
"Acute gastroenteritis",2010,493,11.7
"Rabies and other lyssaviruses",2010,0,0
"Poliomyelitis",2010,0,0
"Brucellosis",2010,1,0
"Mumps",2010,41,1
"Trichinosis",2010,0,0
"Yersiniosis",2010,406,9.7
"Hepatitis NOS",2010,3,0.1
"Shigellosis",2010,104,2.5
"Listeriosis",2010,23,0.5
"Paratyphoid fever",2010,19,0.5
"Hepatitis B",2010,50,1.2
"Pertussis",2010,872,20.8
"VTEC/STEC infection",2010,138,3.3
"Campylobacteriosis",2010,7346,175
"Cholera",2010,2,0
"Taeniasis",2010,3,0.1
"Hepatitis C",2010,16,0.4
"Tuberculosis disease",2010,304,7.2
"Giardiasis",2010,1985,47.3
"Mpox",2010,0,0
"Cryptosporidiosis",2010,954,22.7
"Rheumatic fever",2010,165,3.9
"Toxic shellfish poisoning",2010,9,0.2
"Salmonellosis",2010,1146,27.3
"Invasive pneumococcal disease",2010,530,12.6
"Malaria",2011,52,1.2
"Mumps",2011,51,1.2
"Listeriosis",2011,26,0.6
"Q fever",2011,1,0
"Rickettsial disease",2011,5,0.1
"Legionellosis",2011,158,3.7
"Measles",2011,596,14.1
"Meningococcal disease",2011,119,2.8
"Diphtheria",2011,0,0
"Rabies and other lyssaviruses",2011,0,0
"Hydatid disease",2011,6,0.1
"Rubella",2011,22,0.5
"Mpox",2011,0,0
"Cysticercosis",2011,0,0
"Arboviral diseases",2011,46,1.1
"Leprosy",2011,1,0
"Toxic shellfish poisoning",2011,3,0.1
"Pertussis",2011,1996,47.2
"Typhoid fever",2011,45,1.1
"Poliomyelitis",2011,0,0
"Leptospirosis",2011,68,1.6
"Meningoencephalitis - primary amoebic",2011,0,0
"Hepatitis A",2011,26,0.6
"Rheumatic fever",2011,165,3.9
"Taeniasis",2011,9,0.2
"Hepatitis NOS",2011,7,0.2
"Campylobacteriosis",2011,6686,158
"VTEC/STEC infection",2011,153,3.6
"Hepatitis B",2011,51,1.2
"Brucellosis",2011,0,0
"Haemophilus influenzae type b",2011,8,0.2
"Acute gastroenteritis",2011,567,13.4
"Cholera",2011,0,0
"Giardiasis",2011,1934,45.7
"Hepatitis C",2011,26,0.6
"Tuberculosis disease",2011,307,7.3
"Yersiniosis",2011,513,12.1
"Trichinosis",2011,0,0
"Cryptosporidiosis",2011,610,14.4
"Shigellosis",2011,101,2.4
"Paratyphoid fever",2011,13,0.3
"Invasive pneumococcal disease",2011,539,12.7
"Tetanus",2011,0,0
"Salmonellosis",2011,1055,24.9
"Leprosy",2012,2,0
"Diphtheria",2012,0,0
"Malaria",2012,38,0.9
"Legionellosis",2012,149,3.5
"Meningoencephalitis - primary amoebic",2012,0,0
"Mumps",2012,26,0.6
"Hydatid disease",2012,1,0
"Meningococcal disease",2012,85,2
"Measles",2012,68,1.6
"Rickettsial disease",2012,4,0.1
"Arboviral diseases",2012,77,1.8
"Rubella",2012,4,0.1
"Toxic shellfish poisoning",2012,30,0.7
"Pertussis",2012,5897,138.5
"Rabies and other lyssaviruses",2012,0,0
"VTEC/STEC infection",2012,147,3.5
"Leptospirosis",2012,108,2.5
"Invasive pneumococcal disease",2012,478,11.2
"Hepatitis A",2012,82,1.9
"Rheumatic fever",2012,178,4.2
"Listeriosis",2012,25,0.6
"Q fever",2012,0,0
"Campylobacteriosis",2012,7016,164.8
"Cysticercosis",2012,0,0
"Paratyphoid fever",2012,22,0.5
"Hepatitis B",2012,39,0.9
"Haemophilus influenzae type b",2012,4,0.1
"Typhoid fever",2012,44,1
"Poliomyelitis",2012,0,0
"Brucellosis",2012,0,0
"Salmonellosis",2012,1081,25.4
"Tuberculosis disease",2012,291,6.8
"Yersiniosis",2012,514,12.1
"Taeniasis",2012,6,0.1
"Hepatitis NOS",2012,2,0
"Shigellosis",2012,131,3.1
"Mpox",2012,0,0
"Cholera",2012,0,0
"Giardiasis",2012,1714,40.2
"Tetanus",2012,2,0
"Acute gastroenteritis",2012,735,17.3
"Trichinosis",2012,0,0
"Cryptosporidiosis",2012,877,20.6
"Hepatitis C",2012,31,0.7
"Measles",2013,8,0.2
"Arboviral diseases",2013,110,2.5
"Cholera",2013,0,0
"Brucellosis",2013,1,0
"Hydatid disease",2013,7,0.2
"Campylobacteriosis",2013,6837,153.9
"Rubella",2013,1,0
"Q fever",2013,0,0
"Rickettsial disease",2013,9,0.2
"Malaria",2013,47,1.1
"Leprosy",2013,7,0.2
"Toxic shellfish poisoning",2013,1,0
"Diphtheria",2013,0,0
"Mumps",2013,23,0.5
"Poliomyelitis",2013,0,0
"Meningococcal disease",2013,68,1.5
"Meningoencephalitis - primary amoebic",2013,0,0
"Cryptosporidiosis",2013,1348,30.4
"Rheumatic fever",2013,203,4.6
"Listeriosis",2013,19,0.4
"Hepatitis NOS",2013,1,0
"Mpox",2013,0,0
"Cysticercosis",2013,1,0
"Acute gastroenteritis",2013,557,12.5
"Hepatitis B",2013,28,0.6
"Pertussis",2013,3540,79.7
"Rabies and other lyssaviruses",2013,0,0
"Typhoid fever",2013,50,1.1
"Leptospirosis",2013,60,1.4
"Giardiasis",2013,1729,38.9
"Tuberculosis disease",2013,274,6.2
"Hepatitis A",2013,91,2
"Taeniasis",2013,6,0.1
"Salmonellosis",2013,1143,25.7
"Shigellosis",2013,137,3.1
"Paratyphoid fever",2013,25,0.6
"Legionellosis",2013,151,3.4
"Yersiniosis",2013,483,10.9
"Tetanus",2013,1,0
"Haemophilus influenzae type b",2013,2,0
"Trichinosis",2013,0,0
"VTEC/STEC infection",2013,205,4.6
"Invasive pneumococcal disease",2013,472,10.6
"Hepatitis C",2013,36,0.8
"Mumps",2014,18,0.4
"Rubella",2014,4,0.1
"Listeriosis",2014,25,0.6
"Measles",2014,280,6.2
"Rickettsial disease",2014,6,0.1
"Malaria",2014,33,0.7
"Legionellosis",2014,123,2.7
"Leprosy",2014,4,0.1
"Pertussis",2014,1099,24.4
"Diphtheria",2014,2,0
"Poliomyelitis",2014,0,0
"Meningococcal disease",2014,45,1
"Meningoencephalitis - primary amoebic",2014,0,0
"Tuberculosis disease",2014,301,6.7
"Rheumatic fever",2014,199,4.4
"Hydatid disease",2014,4,0.1
"Q fever",2014,0,0
"Arboviral diseases",2014,280,6.2
"Mpox",2014,0,0
"VTEC/STEC infection",2014,187,4.1
"Toxic shellfish poisoning",2014,18,0.4
"Tetanus",2014,0,0
"Rabies and other lyssaviruses",2014,0,0
"Brucellosis",2014,0,0
"Taeniasis",2014,5,0.1
"Leptospirosis",2014,56,1.2
"Hepatitis C",2014,29,0.6
"Hepatitis A",2014,74,1.6
"Cysticercosis",2014,1,0
"Campylobacteriosis",2014,6782,150.5
"Hepatitis NOS",2014,8,0.2
"Shigellosis",2014,128,2.8
"Typhoid fever",2014,43,1
"Hepatitis B",2014,35,0.8
"Acute gastroenteritis",2014,756,16.8
"Cholera",2014,0,0
"Trichinosis",2014,0,0
"Cryptosporidiosis",2014,584,13
"Invasive pneumococcal disease",2014,488,10.8
"Salmonellosis",2014,955,21.2
"Haemophilus influenzae type b",2014,5,0.1
"Giardiasis",2014,1709,37.9
"Paratyphoid fever",2014,19,0.4
"Yersiniosis",2014,680,15.1
"Campylobacteriosis",2015,6218,135.4
"Brucellosis",2015,1,0
"Diphtheria",2015,2,0
"Leprosy",2015,5,0.1
"Arboviral diseases",2015,186,4
"Rickettsial disease",2015,8,0.2
"Hydatid disease",2015,4,0.1
"Poliomyelitis",2015,0,0
"Meningoencephalitis - primary amoebic",2015,0,0
"Malaria",2015,38,0.8
"Rabies and other lyssaviruses",2015,0,0
"Meningococcal disease",2015,64,1.4
"Taeniasis",2015,5,0.1
"Q fever",2015,0,0
"Rubella",2015,0,0
"Cysticercosis",2015,1,0
"Measles",2015,10,0.2
"Acute gastroenteritis",2015,503,11
"Cholera",2015,0,0
"Toxic shellfish poisoning",2015,3,0.1
"Pertussis",2015,1168,25.4
"Mumps",2015,13,0.3
"Salmonellosis",2015,1051,22.9
"Giardiasis",2015,1510,32.9
"Cryptosporidiosis",2015,696,15.2
"Tuberculosis disease",2015,293,6.4
"Rheumatic fever",2015,111,2.4
"Shigellosis",2015,111,2.4
"Listeriosis",2015,26,0.6
"Paratyphoid fever",2015,34,0.7
"Hepatitis B",2015,34,0.7
"Tetanus",2015,1,0
"Typhoid fever",2015,43,0.9
"Trichinosis",2015,0,0
"Yersiniosis",2015,634,13.8
"Haemophilus influenzae type b",2015,3,0.1
"Hepatitis C",2015,35,0.8
"Legionellosis",2015,246,5.4
"Hepatitis NOS",2015,4,0.1
"Mpox",2015,0,0
"Hepatitis A",2015,47,1
"Leptospirosis",2015,63,1.4
"Invasive pneumococcal disease",2015,446,9.7
"VTEC/STEC infection",2015,330,7.2
"Malaria",2016,26,0.6
"Rubella",2016,3,0.1
"Pertussis",2016,1093,23.3
"Meningoencephalitis - primary amoebic",2016,0,0
"Mumps",2016,20,0.4
"Brucellosis",2016,0,0
"Toxic shellfish poisoning",2016,3,0.1
"Rabies and other lyssaviruses",2016,0,0
"Tuberculosis disease",2016,295,6.3
"Rheumatic fever",2016,136,2.9
"Q fever",2016,0,0
"Meningococcal disease",2016,75,1.6
"Measles",2016,103,2.2
"Rickettsial disease",2016,5,0.1
"VTEC/STEC infection",2016,417,8.9
"Listeriosis",2016,36,0.8
"Leprosy",2016,0,0
"Poliomyelitis",2016,0,0
"Diphtheria",2016,1,0
"Tetanus",2016,1,0
"Invasive pneumococcal disease",2016,480,10.2
"Trichinosis",2016,0,0
"Taeniasis",2016,4,0.1
"Cryptosporidiosis",2016,1062,22.6
"Campylobacteriosis",2016,7457,159
"Arboviral diseases",2016,323,6.9
"Mpox",2016,0,0
"Hepatitis B",2016,34,0.7
"Legionellosis",2016,247,5.3
"Acute gastroenteritis",2016,510,10.9
"Cholera",2016,0,0
"Haemophilus influenzae type b",2016,2,0
"Typhoid fever",2016,38,0.8
"Hepatitis C",2016,31,0.7
"Leptospirosis",2016,85,1.8
"Giardiasis",2016,1616,34.4
"Hepatitis A",2016,35,0.7
"Hydatid disease",2016,2,0
"Yersiniosis",2016,858,18.3
"Hepatitis NOS",2016,8,0.2
"Shigellosis",2016,174,3.7
"Cysticercosis",2016,0,0
"Paratyphoid fever",2016,32,0.7
"Salmonellosis",2016,1091,23.3
"Poliomyelitis",2017,0,0
"Brucellosis",2017,1,0
"Campylobacteriosis",2017,6482,135.3
"Rabies and other lyssaviruses",2017,0,0
"Meningoencephalitis - primary amoebic",2017,0,0
"Taeniasis",2017,4,0.1
"Malaria",2017,42,0.9
"Hydatid disease",2017,1,0
"Rubella",2017,1,0
"Measles",2017,15,0.3
"Mumps",2017,1338,27.9
"Tetanus",2017,0,0
"Leprosy",2017,3,0.1
"Cholera",2017,0,0
"Pertussis",2017,2142,44.7
"Diphtheria",2017,1,0
"Meningococcal disease",2017,112,2.3
"Trichinosis",2017,0,0
"Giardiasis",2017,1648,34.4
"Q fever",2017,0,0
"Rheumatic fever",2017,152,3.2
"Listeriosis",2017,21,0.4
"Arboviral diseases",2017,187,3.9
"Rickettsial disease",2017,4,0.1
"Cysticercosis",2017,0,0
"Acute gastroenteritis",2017,319,6.7
"Toxic shellfish poisoning",2017,5,0.1
"Haemophilus influenzae type b",2017,4,0.1
"Typhoid fever",2017,59,1.2
"Hepatitis C",2017,21,0.4
"Salmonellosis",2017,1127,23.5
"Leptospirosis",2017,138,2.9
"Cryptosporidiosis",2017,1192,24.9
"Hepatitis A",2017,58,1.2
"Yersiniosis",2017,917,19.1
"Hepatitis NOS",2017,10,0.2
"Hepatitis B",2017,27,0.6
"Paratyphoid fever",2017,37,0.8
"VTEC/STEC infection",2017,547,11.4
"Legionellosis",2017,221,4.6
"Invasive pneumococcal disease",2017,521,10.9
"Tuberculosis disease",2017,308,6.4
"Mpox",2017,0,0
"Shigellosis",2017,244,5.1
"Poliomyelitis",2018,0,0
"Toxic shellfish poisoning",2018,3,0.1
"Rabies and other lyssaviruses",2018,0,0
"Rheumatic fever",2018,187,3.8
"Taeniasis",2018,4,0.1
"Pertussis",2018,2955,60.3
"Tuberculosis disease",2018,305,6.2
"Arboviral diseases",2018,308,6.3
"Measles",2018,30,0.6
"Rickettsial disease",2018,3,0.1
"Tetanus",2018,0,0
"Malaria",2018,36,0.7
"Cholera",2018,1,0
"Mumps",2018,435,8.9
"Invasive pneumococcal disease",2018,557,11.4
"Hepatitis C",2018,34,0.7
"Meningococcal disease",2018,120,2.4
"Meningoencephalitis - primary amoebic",2018,0,0
"Q fever",2018,0,0
"Rubella",2018,1,0
"Listeriosis",2018,30,0.6
"VTEC/STEC infection",2018,925,18.9
"Hepatitis B",2018,32,0.7
"Cysticercosis",2018,1,0
"Acute gastroenteritis",2018,228,4.7
"Leprosy",2018,3,0.1
"Brucellosis",2018,3,0.1
"Diphtheria",2018,0,0
"Campylobacteriosis",2018,6957,142
"Trichinosis",2018,0,0
"Giardiasis",2018,1585,32.3
"Cryptosporidiosis",2018,1613,32.9
"Paratyphoid fever",2018,18,0.4
"Mpox",2018,0,0
"Hepatitis NOS",2018,7,0.1
"Shigellosis",2018,217,4.4
"Typhoid fever",2018,53,1.1
"Legionellosis",2018,175,3.6
"Salmonellosis",2018,1100,22.4
"Haemophilus influenzae type b",2018,3,0.1
"Hydatid disease",2018,0,0
"Yersiniosis",2018,1201,24.5
"Leptospirosis",2018,109,2.2
"Hepatitis A",2018,68,1.4
"Mumps",2019,264,5.3
"Taeniasis",2019,5,0.1
"Brucellosis",2019,2,0
"Rubella",2019,2,0
"Measles",2019,2190,44
"Toxic shellfish poisoning",2019,1,0
"Rabies and other lyssaviruses",2019,0,0
"Malaria",2019,27,0.5
"Cholera",2019,0,0
"Poliomyelitis",2019,0,0
"Pertussis",2019,1206,24.2
"Tuberculosis disease",2019,317,6.4
"Rheumatic fever",2019,169,3.4
"Meningoencephalitis - primary amoebic",2019,0,0
"Invasive pneumococcal disease",2019,495,9.9
"Q fever",2019,1,0
"Campylobacteriosis",2019,6203,124.6
"VTEC/STEC infection",2019,1103,22.2
"Rickettsial disease",2019,4,0.1
"Tetanus",2019,0,0
"Acute gastroenteritis",2019,485,9.7
"Leprosy",2019,6,0.1
"Haemophilus influenzae type b",2019,2,0
"Diphtheria",2019,1,0
"Hepatitis C",2019,24,0.5
"Meningococcal disease",2019,139,2.8
"Giardiasis",2019,1749,35.1
"Cryptosporidiosis",2019,1035,20.8
"Hepatitis A",2019,67,1.3
"Mpox",2019,0,0
"Listeriosis",2019,31,0.6
"Arboviral diseases",2019,245,4.9
"Paratyphoid fever",2019,17,0.3
"Legionellosis",2019,161,3.2
"Trichinosis",2019,0,0
"Leptospirosis",2019,89,1.8
"Typhoid fever",2019,54,1.1
"Shigellosis",2019,214,4.3
"Hydatid disease",2019,1,0
"Hepatitis NOS",2019,9,0.2
"Hepatitis B",2019,28,0.6
"Cysticercosis",2019,0,0
"Salmonellosis",2019,1190,23.9
"Yersiniosis",2019,1185,23.8
"Brucellosis",2020,2,0
"Mumps",2020,144,2.8
"Cryptosporidiosis",2020,735,14.4
"Acute gastroenteritis",2020,353,6.9
"Toxic shellfish poisoning",2020,0,0
"Arboviral diseases",2020,57,1.1
"Pertussis",2020,170,3.3
"Cholera",2020,0,0
"Poliomyelitis",2020,0,0
"Tetanus",2020,0,0
"Tuberculosis disease",2020,318,6.2
"VTEC/STEC infection",2020,845,16.6
"Campylobacteriosis",2020,5292,104
"Giardiasis",2020,1139,22.4
"Q fever",2020,0,0
"Rubella",2020,0,0
"Cysticercosis",2020,0,0
"Measles",2020,9,0.2
"Rickettsial disease",2020,5,0.1
"Malaria",2020,17,0.3
"Rabies and other lyssaviruses",2020,0,0
"Salmonellosis",2020,709,13.9
"Invasive pneumococcal disease",2020,350,6.9
"Hepatitis C",2020,28,0.6
"Trichinosis",2020,0,0
"Rheumatic fever",2020,151,3
"Taeniasis",2020,3,0.1
"Hydatid disease",2020,0,0
"Paratyphoid fever",2020,17,0.3
"Listeriosis",2020,35,0.7
"Hepatitis B",2020,18,0.4
"Diphtheria",2020,0,0
"Legionellosis",2020,160,3.1
"Leprosy",2020,3,0.1
"Haemophilus influenzae type b",2020,3,0.1
"Meningoencephalitis - primary amoebic",2020,0,0
"Shigellosis",2020,60,1.2
"Mpox",2020,0,0
"Meningococcal disease",2020,35,0.7
"Leptospirosis",2020,61,1.2
"Yersiniosis",2020,1260,24.8
"Hepatitis A",2020,21,0.4
"Hepatitis NOS",2020,11,0.2
"Typhoid fever",2020,24,0.5
"Toxic shellfish poisoning",2021,3,0.1
"Mumps",2021,1,0
"Tuberculosis disease",2021,309,6
"VTEC/STEC infection",2021,911,17.8
"Measles",2021,0,0
"Tetanus",2021,1,0
"Brucellosis",2021,1,0
"Rabies and other lyssaviruses",2021,0,0
"Cholera",2021,0,0
"Poliomyelitis",2021,0,0
"Cryptosporidiosis",2021,702,13.7
"Rubella",2021,0,0
"Listeriosis",2021,32,0.6
"Hepatitis B",2021,12,0.2
"Rickettsial disease",2021,1,0
"Pertussis",2021,41,0.8
"Malaria",2021,8,0.2
"Haemophilus influenzae type b",2021,3,0.1
"Invasive pneumococcal disease",2021,468,9.2
"Hepatitis C",2021,35,0.7
"Trichinosis",2021,0,0
"Rheumatic fever",2021,86,1.7
"Taeniasis",2021,1,0
"Hepatitis A",2021,8,0.2
"Q fever",2021,0,0
"Campylobacteriosis",2021,5729,112.1
"Cysticercosis",2021,0,0
"Acute gastroenteritis",2021,240,4.7
"Diphtheria",2021,0,0
"Legionellosis",2021,179,3.5
"Leprosy",2021,5,0.1
"Meningoencephalitis - primary amoebic",2021,0,0
"Yersiniosis",2021,1410,27.6
"Giardiasis",2021,1041,20.4
"Meningococcal disease",2021,42,0.8
"Paratyphoid fever",2021,2,0
"Arboviral diseases",2021,8,0.2
"Mpox",2021,0,0
"Hepatitis NOS",2021,8,0.2
"Typhoid fever",2021,3,0.1
"Leptospirosis",2021,77,1.5
"Salmonellosis",2021,714,14
"Hydatid disease",2021,1,0
"Shigellosis",2021,4,0.1
"Tetanus",2022,1,0
"Arboviral diseases",2022,28,0.5
"Brucellosis",2022,1,0
"Cholera",2022,1,0
"Acute gastroenteritis",2022,329,6.4
"Taeniasis",2022,3,0.1
"Cryptosporidiosis",2022,612,12
"Giardiasis",2022,707,13.8
"Leprosy",2022,3,0.1
"Paratyphoid fever",2022,15,0.3
"Hepatitis B",2022,11,0.2
"Rickettsial disease",2022,5,0.1
"Campylobacteriosis",2022,5878,114.9
"Toxic shellfish poisoning",2022,2,0
"Poliomyelitis",2022,0,0
"Pertussis",2022,18,0.4
"Rabies and other lyssaviruses",2022,0,0
"Trichinosis",2022,0,0
"Meningoencephalitis - primary amoebic",2022,0,0
"Tuberculosis disease",2022,267,5.2
"Hepatitis C",2022,23,0.4
"Hydatid disease",2022,3,0.1
"Listeriosis",2022,39,0.8
"Cysticercosis",2022,0,0
"VTEC/STEC infection",2022,1022,20
"Diphtheria",2022,2,0
"Typhoid fever",2022,31,0.6
"Mumps",2022,1,0
"Salmonellosis",2022,749,14.6
"Q fever",2022,0,0
"Invasive pneumococcal disease",2022,631,12.3
"Hepatitis NOS",2022,2,0
"Yersiniosis",2022,1294,25.3
"Rubella",2022,0,0
"Rheumatic fever",2022,78,1.5
"Measles",2022,0,0
"Mpox",2022,41,0.8
"Malaria",2022,18,0.4
"Haemophilus influenzae type b",2022,0,0
"Shigellosis",2022,69,1.3
"Legionellosis",2022,234,4.6
"Leptospirosis",2022,120,2.3
"Meningococcal disease",2022,72,1.4
"Hepatitis A",2022,58,1.1
"Rubella",2023,0,0
"Toxic shellfish poisoning",2023,0,0
"Pertussis",2023,141,2.7
"Rabies and other lyssaviruses",2023,1,0
"Measles",2023,14,0.3
"VTEC/STEC infection",2023,1005,19.2
"Tuberculosis disease",2023,305,5.8
"Hepatitis B",2023,19,0.4
"Invasive pneumococcal disease",2023,757,14.5
"Taeniasis",2023,0,0
"Mpox",2023,8,0.2
"Haemophilus influenzae type b",2023,4,0.1
"Rheumatic fever",2023,183,3.5
"Acute gastroenteritis",2023,462,8.8
"Mumps",2023,16,0.3
"Giardiasis",2023,898,17.2
"Malaria",2023,54,1
"Hepatitis C",2023,31,0.6
"Meningoencephalitis - primary amoebic",2023,0,0
"Listeriosis",2023,37,0.7
"Q fever",2023,0,0
"Meningococcal disease",2023,57,1.1
"Legionellosis",2023,238,4.6
"Tetanus",2023,1,0
"Leptospirosis",2023,170,3.3
"Paratyphoid fever",2023,28,0.5
"Cholera",2023,1,0
"Poliomyelitis",2023,0,0
"Hepatitis NOS",2023,8,0.2
"Typhoid fever",2023,71,1.4
"Hepatitis A",2023,34,0.7
"Yersiniosis",2023,1408,27
"Rickettsial disease",2023,4,0.1
"Hydatid disease",2023,2,0
"Campylobacteriosis",2023,6092,116.6
"Arboviral diseases",2023,68,1.3
"Salmonellosis",2023,827,15.8
